SCIENTIFIC_NAME,ACRONYM,AUTHORITY,COFC,SYN,COMMON_NAME,FAMILY,FN,WET,FORM,HABIT,SHADE,USDA_ID,OH_TORE,TYPE,OH_STATUS,EMP,MW,NCNE,NOTES,GROUP
Polygonum cuspidatum,PLGCUS,Siebold & Zucc.,0,syn,JAPANESE KNOTWEED,Polygonaceae,,FACU-,forb,PE,advent,POCU6,,DI,adventive,FACU,FACU,FACU,syn. Fallopia japonica,
Polygonum erectum,PLGERE,L.,1,,ERECT KNOTWEED,Polygonaceae,,FACU,forb,AN,full,POER2,,DI,native,FACU,FACU,FACU,,
Polygonum hydropiper,PLGHPR,L.,1,syn,WATER-PEPPER,Polygonaceae,368.00,OBL,forb,AN,full,POHY,,DI,native,OBL,OBL,OBL,syn. Persicaria hydropiper,
Polygonum hydropiperoides,PLGHPO,Michx.,6,syn,MILD WATER-PEPPER,Polygonaceae,369.00,OBL,forb,PE,full,POHY2,,DI,native,OBL,OBL,OBL,syn. Persicaria hydropiperoides,
Polygonum lapathifolium,PLGLAP,L.,1,syn,DOCK-LEAVED SMARTWEED,Polygonaceae,370.00,FACW+,forb,AN,full,POLA4,,DI,native,FACW,FACW,FACW,syn. Persicaria lapathifolia,
Polygonum orientale,PLGORI,L.,0,syn,PRINCE'S FEATHER,Polygonaceae,,FACU-,forb,AN,advent,POOR2,,DI,adventive,FACU,UPL,UPL,syn. Persicaria orientalis,
Polygonum pensylvanicum,PLGPEN,L.,0,syn,PINKWEED,Polygonaceae,371.00,FACW,forb,AN,full,POPE2,,DI,native,FACW,FACW,FACW,syn. Persicaria pensylvanica,
Polygonum persicaria,PLGPER,L.,0,syn,LADY'S THUMB,Polygonaceae,,FACW,forb,AN,advent,POPE3,,DI,adventive,FACW,FACW,FAC,syn. Persicaria maculosa,
Polygonum punctatum,PLGPUN,Elliott,6,syn,DOTTED SMARTWEED,Polygonaceae,,OBL,forb,PE,full,POPU5,,DI,native,,,,,
Polygonum ramosissimum,PLGRAM,Michx.,1,,BUSHY KNOTWEED,Polygonaceae,372.00,FAC,forb,AN,full,PORA3,,DI,native,FAC,FACU,FAC,,
Polygonum robustius,PLGROB,(Small) Fernald,5,syn,COARSE SMARTWEED,Polygonaceae,,OBL,forb,PE,full,PORO,T,DI,native,OBL,OBL,OBL,syn. Persicaria robustior,
Polygonum sachalinense,PLGSAC,F. W. Schmidt ex Maxim.,0,syn,GIANT KNOTWEED,Polygonaceae,,(UPL),forb,PE,advent,POSA4,,DI,adventive,UPL,UPL,UPL,syn. Fallopia sachalinensis,
Polygonum sagittatum,PLGSAG,L.,2,syn,ARROW-LEAVED TEARTHUMB,Polygonaceae,,OBL,forb,AN,full,POSA5,,DI,native,OBL,OBL,OBL,syn. Persicaria sagittata,
Polygonum scandens,PLGSCA,L.,2,syn,CLIMBING FALSE BUCKWHEAT,Polygonaceae,373.00,FAC,vine,PE,partial,POSC3,,DI,native,,,,,
Polygonum setaceum,PLGSET,Baldwin,6,syn,BRISTLY SMARTWEED,Polygonaceae,374.00,OBL,forb,PE,full,POSE6,E,DI,native,OBL,OBL,OBL,syn. Persicaria setacea,
Polygonum sp.,POLYGN,L.,,,KNOTWEED,Polygonaceae,,ND,ND,ND,ND,POLYG4,,DI,,,,,,
Polygonum tenue,PLGTEN,Michx.,4,,SLENDER KNOTWEED,Polygonaceae,,(UPL),forb,AN,full,POTE2,,DI,native,,,,,
Polygonum virginianum,PLGVIR,L.,3,syn,JUMPSEED,Polygonaceae,,FAC,forb,PE,shade,POVI2,,DI,native,FAC,FAC,FAC,syn. Persicaria virginia,
Polymnia canadensis,POLCAN,L.,5,,LEAFCUP,Asteraceae,,(UPL),forb,PE,shade,POCA11,,DI,native,,,,,
Polymnia sp.,POLYMN,ND,,,ND,Asteraceae,,UPL,forb,PE,shade,POLYM,,DI,,,,,,
Polymnia uvedalia,POLUVE,(L.) L.,7,syn,LARGE-FLOWERED LEAFCUP,Asteraceae,,(UPL),forb,PE,shade,SMUV,,DI,native,,,,,
Polypodium appalachianum,POLAPP,Haufler & Windham,8,,APPALACHIAN POLYPODY,Polypodiaceae,,(UPL),fern,PE,shade,POAP,,SVP,native,,,,,
Polypodium sp.,POLYPOD,ND,,,ND,Polypodiaceae,,UPL,fern,PE,shade,POLYP,,SVP,,,,,,
Polypodium virginianum,POLVIG,L.,8,,ROCK POLYPODY,Polypodiaceae,,(UPL),fern,PE,shade,POVI7,,SVP,native,,,,,
Polystichum acrostichoides,POLACR,(Michx.) Schott,3,,CHRISTMAS FERN,Dryopteridaceae,,FACU-,fern,PE,shade,POAC4,,SVP,native,FACU,UPL,FACU,,
Pontederia cordata,PONCOR,L.,6,,PICKEREL-WEED,Pontederiaceae,,OBL,forb,PE,full,POCO14,,MO,native,OBL,OBL,OBL,,
Populus alba,POPALB,L.,0,,WHITE POPLAR,Salicaceae,,(UPL),tree,W,advent,POAL7,,DI,adventive,,,,,
Populus balsamifera,POPBAL,L.,3,,BALSAM POPLAR,Salicaceae,376.00,FACW,tree,W,tree,POBA2,E,DI,native,FACW,FACW,FACW,,
Populus deltoides,POPDEL,W. Bartram ex Marshall,3,,EASTERN COTTONWOOD,Salicaceae,377.00,FAC,tree,W,tree,PODE3,,DI,native,FAC,FAC,FAC,,
Populus grandidentata,POPGRA,Michx.,2,,BIG-TOOTH ASPEN,Salicaceae,,FACU-,tree,W,tree,POGR4,,DI,native,FACU,FACU,FACU,,
Populus heterophylla,POPHET,L.,9,,SWAMP COTTONWOOD,Salicaceae,,FACW+,tree,W,tree,POHE4,,DI,native,OBL,OBL,OBL,,
Populus nigra L. var. italica,POPNIG,Du Roi,0,,LOMBARDY POPLAR,Salicaceae,378.00,(UPL),tree,W,advent,PONI,,DI,adventive,,,,,
Populus nigra var. italica,POPNIG,Du Roi,0,,LOMBARDY POPLAR,Salicaceae,,,tree,W,advent,,,,,,,,,DI
Populus sp.,POPULU,ND,,,ND,Salicaceae,,ND,tree,W,ND,POPUL,,DI,,,,,,
Populus tremuloides,POPTRE,Michx.,2,,QUAKING ASPEN,Salicaceae,,(FACU),tree,W,tree,POTR5,,DI,native,FAC,FAC,FACU,,
Porteranthus sp.,PORTER,ND,6,,ND,Rosaceae,,UPL,forb,PE,shade,GILLE2,,DI,native,,,,,
Porteranthus stipulatus,PORSTI,(Muhl. ex Willd.) Britton,6,,AMERICAN IPECAC,Rosaceae,,(UPL),forb,PE,shade,GIST5,,DI,native,,,,,
Porteranthus trifoliatus,PORTRI,(L.) Britton,6,,BOWMAN'S-ROOT,Rosaceae,,(UPL),forb,PE,shade,GITR6,T,DI,native,,,,,
Portulaca grandiflora,PORGRA,Hook.,0,,MOSS-ROSE,Portulacaceae,,(UPL),forb,AN,advent,POGR7,,DI,adventive,UPL,FACU,UPL,,
Portulaca oleracea,POROLE,L.,0,,COMMON PURSLANE,Portulacaceae,,FAC,forb,AN,advent,POOL,,DI,adventive,FAC,FACU,FACU,,
Potamogeton amplifolius,PTMAMP,Tuck.,8,,LYRE-LEAVED PONDWEED,Potamogetonaceae,,OBL,forb,PE,full,POAM5,,MO,native,OBL,OBL,OBL,,
Potamogeton crispus,PTMCRI,L.,0,,CURLY-LEAVED PONDWEED,Potamogetonaceae,,OBL,forb,PE,advent,POCR3,,MO,adventive,OBL,OBL,OBL,,
Potamogeton diversifolius,PTMDIV,Raf.,5,,SNAILSEED PONDWEED,Potamogetonaceae,,OBL,forb,PE,full,PODI,,MO,native,OBL,OBL,OBL,,
Potamogeton epihydrus,PTMEPI,Raf.,6,,RIBBON-LEAVED PONDWEED,Potamogetonaceae,379.00,OBL,forb,PE,full,POEP2,,MO,native,OBL,OBL,OBL,,
Potamogeton foliosus,PTMFOL,Raf.,2,,LEAFY PONDWEED,Potamogetonaceae,380.00,OBL,forb,PE,full,POFO3,,MO,native,OBL,OBL,OBL,,
Potamogeton friesii,PTMFRI,Rupr.,10,,FRIES' PONDWEED,Potamogetonaceae,381.00,OBL,forb,PE,full,POFR3,X,MO,native,OBL,OBL,OBL,,
Potamogeton gramineus,PTMGRA,L.,10,,GRASS-LIKE PONDWEED,Potamogetonaceae,382.00,OBL,forb,PE,full,POGR8,E,MO,native,OBL,OBL,OBL,,
Potamogeton hillii,PTMHIL,Morong,9,,HILL'S PONDWEED,Potamogetonaceae,,OBL,forb,PE,full,POHI4,E,MO,native,OBL,,OBL,,
Potamogeton illinoensis,PTMILL,Morong,8,,ILLINOIS PONDWEED,Potamogetonaceae,,OBL,forb,PE,full,POIL,,MO,native,OBL,OBL,OBL,,
Potamogeton natans,PTMNAT,L.,8,,FLOATING PONDWEED,Potamogetonaceae,,OBL,forb,PE,full,PONA4,P,MO,native,OBL,OBL,OBL,,
