SCIENTIFIC_NAME,ACRONYM,AUTHORITY,COFC,SYN,COMMON_NAME,FAMILY,FN,WET,FORM,HABIT,SHADE,USDA_ID,OH_TORE,TYPE,OH_STATUS,EMP,MW,NCNE,NOTES,GROUP
Lonicera dioica,LONDIO,L.,5,,WILD HONEYSUCKLE,Caprifoliaceae,304.00,FACU,vine,W,shade,LODI2,,DI,native,FACU,FACU,FACU,,
Lonicera flava,LONFLA,Sims,8,,YELLOW HONEYSUCKLE,Caprifoliaceae,305.00,(UPL),vine,W,shade,LOFL,X,DI,native,,,,,
Lonicera fragrantissima,LONFRA,Lindl. & Paxt.,0,,SWEET-BREATH-SPRING,Caprifoliaceae,,(UPL),shrub,W,advent,LOFR,,DI,adventive,,,,,
Lonicera japonica,LONJAP,Thunb.,0,,JAPANESE HONEYSUCKLE,Caprifoliaceae,,FAC-,vine,W,advent,LOJA,,DI,adventive,FAC,FACU,FACU,,
Lonicera maackii,LONMAA,(Rupr.) Maxim.,0,,AMUR HONEYSUCKLE,Caprifoliaceae,,(UPL),shrub,W,advent,LOMA6,,DI,adventive,,,,,
Lonicera morrowii,LONMOR,A. Gray,0,,MORROW'S HONEYSUCKLE,Caprifoliaceae,,FACU,shrub,W,advent,LOMO2,,DI,adventive,FACU,FACU,FACU,,
Lonicera oblongifolia,LONOBL,(Goldie) Hook.,9,,SWAMP FLY HONEYSUCKLE,Caprifoliaceae,,OBL,shrub,W,partial,LOOB,X,DI,native,OBL,OBL,OBL,,
Lonicera reticulata,LONRET,Raf.,7,syn,GRAPE HONEYSUCKLE,Caprifoliaceae,,(UPL),vine,W,shade,LORE5,,DI,native,,,,,
Lonicera sempervirens,LONSEM,L.,8,,TRUMPET HONEYSUCKLE,Caprifoliaceae,546.00,FACU,vine,W,partial,LOSE,,DI,native,FACU,FACU,FACU,,
Lonicera sp.,LONICE,L.,,,HONEYSUCKLE,Caprifoliaceae,,ND,ND,W,ND,LONIC,,DI,,,,,,
Lonicera tatarica,LONTAT,L.,0,,TATARIAN HONEYSUCKLE,Caprifoliaceae,,FACU,shrub,W,advent,LOTA,,DI,adventive,FACU,FACU,FACU,,
Lonicera villosa,LONVIL,(Michx.) Schult.,9,,MOUNTAIN FLY HONEYSUCKLE,Caprifoliaceae,306.00,(FACW+),shrub,W,shade,LOVI,X,DI,native,FACW,FACW,FACW,,
Lonicera xylosteum,LONXYL,L.,0,,EUROPEAN FLY HONEYSUCKLE,Caprifoliaceae,,(UPL),shrub,W,advent,LOXY,,DI,adventive,,,,,
Lotus corniculatus,LOTCOR,L.,0,,BIRD'S-FOOT TREFOIL,Fabaceae,,FACU-,forb,PE,advent,LOCO6,,DI,adventive,FACU,FACU,FACU,,
Ludwigia alternifolia,LUDALT,L.,3,,SEEDBOX,Onagraceae,,FACW+,forb,PE,full,LUAL2,,DI,native,FACW,OBL,OBL,,
Ludwigia decurrens,LUDDEC,Walter,0,,ERECT PRIMROSE-WILLOW,Onagraceae,,OBL,forb,AN,advent,LUDE4,,DI,adventive,OBL,OBL,OBL,,
Ludwigia leptocarpa,LUDLEP,(Nutt.) Hara,0,,HAIRY PRIMROSE-WILLOW,Onagraceae,,OBL,forb,AN,advent,LULE4,,DI,adventive,OBL,OBL,,,
Ludwigia palustris,LUDPAL,(L.) Elliott,3,,WATER-PURSLANE,Onagraceae,,OBL,forb,AN,full,LUPA,,DI,native,OBL,OBL,OBL,,
Ludwigia peploides,LUDPEP,(Kunth) P.H. Raven,0,,CREEPING PRIMROSE-WILLOW,Onagraceae,307.00,OBL,forb,PE,advent,LUPE5,,DI,adventive,OBL,OBL,OBL,,
Ludwigia polycarpa,LUDPOL,Short & R. Peter,5,,FALSE LOOSESTRIFE,Onagraceae,,OBL,forb,PE,full,LUPO,,DI,native,OBL,OBL,OBL,,
Ludwigia sp.,LUDWIG,L.,,,PRIMROSE-WILLOW,Onagraceae,,ND,forb,ND,ND,LUDWI,,DI,,,,,,
Lunaria annua,LUNANN,L.,0,,MONEY-PLANT,Brassicaceae,,(UPL),forb,AN,advent,LUAN,,DI,adventive,,,,,
Lunaria annual,LUNANN,L.,0,,MONEY-PLANT,Brassicaceae,,,forb,AN,advent,,,,,,,,,DI
Lunaria rediviva,LUNRED,L.,0,,MONEY-PLANT,Brassicaceae,,(UPL),forb,PE,advent,LURE,,DI,adventive,,,,,
Lupinus perennis,LUPPER,L.,7,,WILD LUPINE,Fabaceae,,(UPL),forb,PE,full,LUPE3,P,DI,native,,,,,
Luzula acuminata,LUZACU,Raf.,6,,HAIRY WOODRUSH,Juncaceae,308.00,FAC,forb,PE,shade,LUAC,,MO,native,FAC,FACU,FACU,,
Luzula bulbosa,LUZBUL,(A.W. Wood) Rydb.,5,,SOUTHERN WOODRUSH,Juncaceae,,FACU,forb,PE,shade,LUBU,T,MO,native,FACU,FACU,FACU,,
Luzula echinata,LUZECH,(Small) F.J. Herm.,4,,ROUND-LEAVED WOODRUSH,Juncaceae,309.00,FACU,forb,PE,shade,LUEC,,MO,native,FACU,FACU,FACU,,
Luzula multiflora,LUZMUL,(Retz.) Lej.,3,,COMMON WOODRUSH,Juncaceae,310.00,FACU,forb,PE,shade,LUMU2,,MO,native,FACU,FACU,FACU,,
Luzula sp.,LUZULA,DC.,,,WOODRUSH,Juncaceae,,ND,forb,PE,shade,LUZUL,,MO,,,,,,
Lychnis coronaria,LYCCOR,(L.) Desr.,0,,MULLEIN-PINK,Caryophyllaceae,,(UPL),forb,PE,advent,LYCO,,DI,adventive,,,,,
Lychnis flos-cuculi,LYCFLO,L.,0,,RAGGED ROBIN,Caryophyllaceae,,FACU,forb,PE,advent,LYFL3,,DI,adventive,FACU,FACU,FACU,syn. Silene flos-cuculi,
Lychnis viscaria,LYCVIS,L.,0,,GERMAN CATCHFLY,Caryophyllaceae,,(UPL),forb,PE,advent,LYVI2,,DI,adventive,,,,,
Lycium barbarum,LYCBAR,L.,0,,COMMON MATRIMONY-VINE,Solanaceae,311.00,(UPL),shrub,W,advent,LYBA4,,DI,adventive,,,,,
Lycopersicon esculentum,LYCESC,Mill.,0,,TOMATO,Solanaceae,,(UPL),forb,AN,advent,SOLYL,,DI,adventive,,,,,
Lycopodiella appressa,LYCAPP,(Chapm.) Cranfill,10,syn,SOUTHERN CLUB-MOSS,Lycopodiaceae,562.00,OBL,fern,PE,partial,LYAP4,E,SVP,native,FACW,FACW,FACW,,
Lycopodiella inundata,LYCINU,(L.) Holub,7,syn,NORTHERN BOG CLUB-MOSS,Lycopodiaceae,,OBL,fern,PE,shade,LYIN2,,SVP,native,OBL,OBL,OBL,,
Lycopodiella margueritae,LYCMAR,J.G. Bruce, W.H. Wagner & Beitel,7,,NORTHERN PROSTRATE CLUB-M.,Lycopodiaceae,,,fern,PE,shade,,,,,,,,,SVP
Lycopodiella sp.,LYCOPD,Holub,,,CLUB-MOSS,Lycopodiaceae,,ND,fern,PE,shade,LYCOP6,,SVP,,,,,,
Lycopodiella subappressa,LYCSUB,J.G. Bruce% W.H. Wagner & Beitel,9,,APPRESSED BOG CLUB-MOSS,Lycopodiaceae,,(FACW),fern,PE,shade,LYSU2,E,SVP,native,,,FACW,,
Lycopodiella subapressa,LYCSUB,J.G. Bruce, W.H. Wagner & Beitel,9,,APPRESSED BOG CLUB-MOSS,Lycopodiaceae,,,fern,PE,shade,,,,,,,,,SVP
Lycopodium clavatum,LYCCLA,L.,3,,RUNNING GROUND-PINE,Lycopodiaceae,,FAC,fern,PE,shade,LYCL,,SVP,native,FAC,FAC,FAC,,
Lycopodium dendroideum,LYCDEN,Michx.,5,syn,TREE CLUB-MOSS,Lycopodiaceae,,FACU,fern,PE,shade,LYDE,,SVP,native,FACU,FACU,FACU,syn. Dendrolycopodium dendroideum,
Lycopodium hickeyi,LYCHIC,W.H. Wagner% Beitel & DC. Moran,5,,ROUND-BRANCHED TREE CLUB-M.,Lycopodiaceae,,(FACU),fern,PE,shade,LYHI2,,SVP,native,,,,,
Lycopodium lagopus,LYCLAG,(Laest. ex Hartm.) G. Zinserl. ex Kuzen,3,,ONE-CONED CLUB-MOSS,Lycopodiaceae,312.00,(UPL),fern,PE,shade,LYLA5,E,SVP,native,FACU,FAC,FACU,,
Lycopodium obscurum,LYCOBS,L.,5,,FLAT-BRANCHED TREE CLUB-M.,Lycopodiaceae,,FACU,fern,PE,shade,LYOB,,SVP,native,FACU,FACU,FACU,syn. Dendrolycopodium obscurum,
Lycopodium sp.,LYCOPO,L.,,,CLUB-MOSS,Lycopodiaceae,,ND,fern,PE,shade,LYCOP2,,SVP,,,,,,
Lycopus americanus,LYCAME,Muhl. ex W.P.C. Barton,3,,AMERICAN WATER-HOREHOUND,Lamiaceae,,OBL,forb,PE,full,LYAM,,DI,native,OBL,OBL,OBL,,
Lycopus asper,LYCASP,Greene,0,,ROUGH WATER-HOREHOUND,Lamiaceae,,OBL,forb,PE,advent,LYAS,,DI,adventive,,OBL,OBL,,
Lycopus europaeus,LYCEUR,L.,0,,EUROPEAN BUGLE-WEED,Lamiaceae,,OBL,forb,PE,advent,LYEU,,DI,adventive,OBL,OBL,OBL,,
Lycopus rubellus,LYCRUB,Moench,4,,STALKED WATER-HOREHOUND,Lamiaceae,,OBL,forb,PE,full,LYRU,,DI,native,OBL,OBL,OBL,,
Lycopus sp.,LYCOPU,L.,,,WATER-HOREHOUND,Lamiaceae,,OBL,forb,PE,ND,LYCOP4,,DI,,,,,,
Lycopus uniflorus,LYCUNI,Michx.,3,syn,NORTHERN WATER-HOREHOUND,Lamiaceae,,OBL,forb,PE,full,LYUN,,DI,native,OBL,OBL,OBL,,
Lycopus virginicus,LYCVIR,L.,3,syn,VIRGINIA BUGLE-WEED,Lamiaceae,,OBL,forb,PE,full,LYVI4,,DI,native,OBL,OBL,OBL,,
Lycoris squamigera,LICSQU,Maxim,0,,MAGIC LILY,Liliaceae,,(FACU),forb,PE,advent,LYSQ,,MO,adventive,,,,,
Lygodium palmatum,LYGPAL,(Bernh.) Sw.,5,,CLIMBING FERN,Schizaeaceae,,FACW,fern,PE,full,LYPA3,,DI,native,FACW,FACW,FACW,,
Lyonia ligustrina,LYOLIG,(L.) DC.,8,,MALEBERRY,Ericaceae,,FACW,shrub,W,partial,LYLI,X,DI,native,FACW,FACW,FACW,,
Lysimachia ciliata,LYSCIL,L.,4,syn,FRINGED LOOSESTRIFE,Primulaceae,,FACW,forb,PE,shade,LYCI,,DI,native,FACW,FACW,FACW,,
Lysimachia lanceolata,LYSLAN,Walter,6,syn,LANCE-LEAVED LOOSESTRIFE,Primulaceae,,FAC,forb,PE,full,LYLA,,DI,native,FAC,FAC,FAC,,
Lysimachia nummularia,LYSNUM,L.,0,,MONEYWORT,Primulaceae,,OBL,forb,PE,advent,LYNU,,DI,adventive,FACW,FACW,FACW,,
Lysimachia punctata,LYSPUN,L.,0,,GARDEN LOOSESTRIFE,Primulaceae,,OBL,forb,PE,advent,LYPU2,,DI,adventive,OBL,OBL,OBL,,
Lysimachia quadriflora,LYSQFL,Sims,7,syn,LINEAR-LEAVED LOOSESTRIFE,Primulaceae,,FACW+,forb,PE,partial,LYQU,,DI,native,FACW,OBL,OBL,,
Lysimachia quadrifolia,LYSQFO,L.,5,,WHORLED LOOSESTRIFE,Primulaceae,,FACU-,forb,PE,partial,LYQU2,,DI,native,FACU,FACU,FACU,,
Lysimachia sp.,LYSIMA,L.,,,YELLOW LOOSESTRIFE,Primulaceae,,ND,forb,PE,ND,LYSIM,,DI,,,,,,
Lysimachia terrestris,LYSTER,(L.) B.S.P.,6,,SWAMP-CANDLES,Primulaceae,,OBL,forb,PE,full,LYTE2,,DI,native,OBL,OBL,OBL,,
Lysimachia thyrsiflora,LYSTHY,L.,6,,TUFTED LOOSESTRIFE,Primulaceae,,OBL,forb,PE,full,LYTH2,,DI,native,OBL,OBL,OBL,,
Lysimachia vulgaris,LYSVUL,L.,0,,GARDEN LOOSESTRIFE,Primulaceae,,FAC+,forb,PE,advent,LYVU,,DI,adventive,FAC,FACW,FACW,,
Lythrum alatum,LYTALA,Pursh,6,,WINGED LOOSESTRIFE,Lythraceae,,FACW+,forb,PE,full,LYAL4,,DI,native,FACW,OBL,OBL,,
Lythrum hyssopifolium,LYTHYS,L.,0,,HYSSOP-LEAVED LOOSESTRIFE,Lythraceae,,OBL,forb,BI,advent,LYHY3,,DI,adventive,OBL,OBL,OBL,,
Lythrum salicaria,LYTSAL,L.,0,,PURPLE LOOSESTRIFE,Lythraceae,,FACW+,forb,PE,advent,LYSA2,,DI,adventive,FACW,OBL,OBL,,
Lythrum sp.,LYTHRUM,L.,,,LOOSESTRIFE,Lythraceae,,ND,forb,ND,ND,LYTHR,,DI,,,,,,
Macleaya cordata,MACCOR,(Willd.) R. Br.,0,,PLUME POPPY,Papaveraceae,,(FACU),forb,PE,advent,MACO10,,DI,adventive,,,,,
Maclura pomifera,MACPOM,(Raf.) C.K. Schneid.,0,,OSAGE-ORANGE,Moraceae,,UPL,tree,W,advent,MAPO,,DI,adventive,UPL,FACU,FACU,,
Magnolia acuminata,MAGACU,(L.) L.,7,,CUCUMBER TREE,Magnoliaceae,,(UPL),tree,W,tree,MAAC,,DI,native,FACU,,,,
Magnolia macrophylla,MAGMAC,Michx.,8,,BIGLEAF MAGNOLIA,Magnoliaceae,,(UPL),tree,W,tree,MAMA2,E,DI,native,,,,,
Magnolia sp.,MAGNOL,L.,,,MAGNOLIA,Magnoliaceae,,ND,tree,W,tree,MAGNO,,DI,,,,,,
Magnolia tripetala,MAGTRI,(L.) L.,8,,UMBRELLA MAGNOLIA,Magnoliaceae,,FACU,tree,W,tree,MATR,T,DI,native,FACU,FACU,FACU,,
Maianthemum canadense,MAICAN,Desf.,6,,CANADA MAYFLOWER,Liliaceae,313.00,FAC-,forb,PE,shade,MACA4,,MO,native,FAC,FAC,FACU,,
Maianthemum racemosum,MAIRAC,(L.) Link,4,syn,FALSE SOLOMON'S-SEAL,Liliaceae,,FACU-,forb,PE,shade,MARA7,,MO,native,FACU,FACU,FACU,,
Maianthemum sp.,MAIANT,F.H. Wigg,,,MAYFLOWER,Liliaceae,,ND,forb,PE,shade,MAIAN,,MO,,,,,,
Maianthemum stellatum,MAISTE,(L.) Link,7,syn,STARRY FALSE SOLOMON'S-SEAL,Liliaceae,,FACW,forb,PE,shade,MAST4,,MO,native,FACW,FAC,FAC,,
Maianthemum trifolium,MAITRI,(L.) Sloboda,10,syn,THREE-LEAVED FALSE SOL.-SEAL,Liliaceae,,OBL,forb,PE,shade,MATR4,X,MO,native,OBL,OBL,OBL,,
Malaxis bayardii,MALBAY,Fern.,6,,BAYARD'S ADDER'S-MOUTH,Orchidaceae,,(UPL),forb,PE,shade,MABA6,,MO,native,,,,,
Malaxis sp.,MALAXI,Sol. ex Sw.,6,,ADDER'S-MOUTH,Orchidaceae,,ND,forb,PE,shade,MALAX,,MO,,,,,,
Malaxis unifolia,MALUNI,Michx.,6,,GREEN ADDER'S-MOUTH,Orchidaceae,,FAC,forb,PE,shade,MAUN,P,MO,native,FAC,FAC,FAC,,
Malus baccata,MALBAC,(L.) Borkh.,,,SIBERIAN CRAB APPLE,Rosaceae,,,shrub,,,,,,,,,,,DI
Malus toringo,MALTOR,(Siebold) Siebold ex de Vriese,,,TORINGA CRAB APPLE,Rosaceae,,,shrub,,,,,,,,,,,
Malva alcea,MALALC,L.,0,,VERVAIN MALLOW,Malvaceae,,(UPL),forb,PE,advent,MAAL,,DI,adventive,,,,,
Malva moschata,MALMOS,L.,0,,MUSK MALLOW,Malvaceae,,UPL,forb,PE,advent,MAMO2,,DI,adventive,,,,,
Malva neglecta,MALNEG,Wallr.,0,,CHEESE MALLOW,Malvaceae,,(UPL),forb,AN,advent,MANE,,DI,adventive,,,,,
Malva rotundifolia,MALROT,L.,0,syn,ROUND-LEAVED MALLOW,Malvaceae,,(UPL),forb,AN,advent,MANE,,DI,adventive,,,,,
Malva sp.,MALVA,L.,,,MALLOW,Malvaceae,,UPL,forb,ND,advent,MALVA,,DI,,,,,,
Malva sylvestris,MALSYL,L.,0,,HIGH MALLOW,Malvaceae,,(UPL),forb,BI,advent,MASY,,DI,adventive,,,,,
Malva verticillata,MALVER,L.,0,,WHORLED MALLOW,Malvaceae,,(UPL),forb,AN,advent,MAVE,,DI,adventive,,,,,
Manfreda virginica,MANVIR,(L.) Salisb. ex Rose,9,syn,AMERICAN ALOE,Agavaceae,,(UPL),forb,PE,full,MAVI5,P,MO,native,,,,,
Marrubium vulgare,MARVUL,L.,0,,COMMON HOREHOUND,Lamiaceae,,UPL,forb,PE,advent,MAVU,,DI,adventive,UPL,FAC,FACU,,
Marsilea quadifolia,MARQUA,L.,0,,EURASION WATER-CLOVERL,Marsiliaceae,,,fern,PE,advent,,,,,,,,,SVP
Marsilea quadrifolia,MARQUA,L.,0,,EURASION WATER-CLOVERL,Marsiliaceae,,OBL,fern,PE,advent,MAQU,,SVP,adventive,OBL,OBL,OBL,,
Matelea obliqua,MATOBL,(Jacq.) Woodson,4,,ANGLE-POD,Asclepiadaceae,,(UPL),vine,PE,partial,MAOB2,,DI,native,,,,,
Matricaria maritima,MATMAR,L.,0,,SCENTLESS CHAMOMILE,Asteraceae,314.00,(UPL),forb,AN,advent,TRMAM,,DI,adventive,UPL,FAC,FAC,syn. Tripleurospermum maritimum,
Matricaria matricarioides,MATMAT,(Less.) Porter,0,syn,PINEAPPLE-WEED,Asteraceae,,FACU,forb,AN,advent,MADI6,,DI,adventive,FACU,FACU,FACU,syn. Matricaria discoidea,
Matricaria recutita,MATREC,L.,0,,CHAMOMILE,Asteraceae,,(UPL),forb,AN,advent,MARE6,,DI,adventive,,,,,
Matricaria sp.,MATRIC,L.,,,MAYWEED,Asteraceae,,ND,forb,AN,advent,MATRI,,DI,,,,,,
Matteuccia struthiopteris,MATSTR,(L.) Tod.,6,,OSTRICH FERN,Dryopteridaceae,315.00,FACW,fern,PE,shade,MAST,,DI,native,FACW,FACW,FAC,,
Mazus pumilus,MAZPUM,(Burm. f.) Steenis,0,,MAZUS,Scrophulariaceae,,FACU-,forb,PE,advent,MAPU7,,DI,adventive,FACU,UPL,UPL,,
Medeola virginiana,MEDVIR,L.,6,,INDIAN CUCUMBER-ROOT,Liliaceae,,(UPL),forb,PE,shade,MEVI,,MO,native,,FACU,,,
Medicago lupulina,MEDLUP,L.,0,,BLACK MEDICK,Fabaceae,,UPL,forb,AN,advent,MELU,,DI,adventive,FACU,FACU,FACU,,
Medicago sativa,MEDSAT,L.,0,,ALFALFA,Fabaceae,316.00,(UPL),forb,PE,advent,MESA,,DI,adventive,UPL,FACU,UPL,,
Medicago sp.,MEDICA,L.,,,ALFALFA,Fabaceae,,UPL,forb,ND,advent,MEDIC,,DI,,,,,,
Meehania cordata,MEECOR,(Nutt.) Britton,7,,MEEHANIA,Lamiaceae,,(FACU+),forb,PE,shade,MECO,,DI,native,FACU,,,,
Melampyrum lineare,MELLIN,Desr.,8,,COW-WHEAT,Scrophulariaceae,317.00,FACU,forb,AN,shade,MELI2,T,DI,native,FACU,FAC,FACU,,
Melanthium virginicum,MELVIR,L.,9,,BUNCHFLOWER,Liliaceae,,FACW+,forb,PE,full,VEVI5,T,MO,native,FACW,FACW,FACW,syn. Veratrum virginicum,
Melanthium woodii,MELWOO,(J.W. Robbins ex A.W. Wood) Baker,10,syn,WOOD'S HELLEBORE,Liliaceae,,(UPL),forb,PE,shade,VEWO3,T,MO,native,,,,,
Melica nitens,MELNIT,(Scribn.) Nutt. ex Piper,8,,THREE-FLOWERED MELIC,Poaceae,,(UPL),grass,PE,shade,MENI,T,MO,native,,,,,
Melilotus alba,MELALB,Medik.,0,,WHITE SWEET-CLOVER,Fabaceae,,FACU-,forb,BI,advent,MEOF,,DI,adventive,FACU,FACU,FACU,syn. Melilotus officinalis,
Melilotus altissima,MELALT,Thuill.,0,,TALL SWEET-CLOVER,Fabaceae,,(UPL),forb,PE,advent,MEAL3,,DI,adventive,,,,,
Melilotus officinalis,MELOFF,(L.) Pall.,0,,YELLOW SWEET-CLOVER,Fabaceae,,FACU-,forb,BI,advent,MEOF,,DI,adventive,FACU,FACU,FACU,,
Melilotus sp.,MELILO,L.,,,SWEET-CLOVER,Fabaceae,,FACU-,forb,BI,advent,MELIL,,DI,,,,,,
Melissa officinalis,MLIOFF,L.,0,,COMMON BALM,Lamiaceae,,(UPL),forb,PE,advent,MEOF2,,DI,adventive,UPL,UPL,UPL,,
Menispermum canadense,MENCAN,L.,5,,CANADA MOONSEED,Menispermaceae,,FACU,vine,PE,shade,MECA3,,DI,native,FACU,FAC,FAC,,
Mentha arvensis,MENARV,L.,2,syn,FIELD MINT,Lamiaceae,318.00,FACW,forb,PE,full,MEAR4,,DI,native,FACW,FACW,FACW,,
Mentha longifolia,MENLON,(L.) L.,0,,EUROPEAN HORSEMINT,Lamiaceae,,FACU,forb,PE,advent,MESP3,,DI,adventive,FACW,FACW,FACW,syn. Mentha spicata,
Mentha sp.,MENTHA,L.,,,MINT,Lamiaceae,,ND,forb,PE,ND,MENTH,,DI,,,,,,
Mentha spicata,MENSPI,L.,0,,SPEARMINT,Lamiaceae,,FACW+,forb,PE,advent,MESP3,,DI,adventive,FACW,FACW,FACW,,
Mentha x piperata,MENPIP,L.,0,,PEPPERMINT,Lamiaceae,319.00,FACW+,forb,PE,advent,MEPI,,DI,adventive,FACW,OBL,OBL,,
Menyanthes trifoliata,MENTRI,L.,9,,BUCKBEAN,Menyanthaceae,,OBL,forb,PE,full,METR3,T,DI,native,OBL,OBL,OBL,,
Mercurialis annua,MERANN,L.,0,,MERCURY,Euphorbiaceae,,(UPL),forb,AN,advent,MEAN,,DI,adventive,,,,,
Mertensia virginica,MERVIR,(L.) Pers. ex Link,6,,BLUEBELLS,Boraginaceae,,FACW,forb,PE,shade,MEVI3,,DI,native,FACW,FACW,FAC,,
Metasequoia glyptostroboides,METGLY,Hu & W.C. Cheng,0,,DAWN REDWOOD,Cupressaceae,,(FACU),tree,W,full,,,GYMN,adventive,,,,,
Microstegium vimineum,MICVIM,(Trin.) A. Camus,0,syn,RECLINING EULALIA,Poaceae,,FAC,grass,AN,advent,MIVI,,MO,adventive,FAC,FAC,FAC,,
Mikania scandens,MIKSCA,(L.) Willd.,0,,CLIMBING HEMPWEED,Asteraceae,320.00,FACW+,shrub,W,advent,MISC,,DI,adventive,FACW,OBL,OBL,,
Milium effusum,MILEFF,L.,7,,WOOD MILLET,Poaceae,,(UPL),grass,PE,shade,MIEF,,MO,native,FACU,FACU,,,
Mimulus alatus,MIMALA,Aiton,6,,WINGED MONKEY-FLOWER,Scrophulariaceae,,OBL,forb,PE,full,MIAL2,,DI,native,OBL,OBL,OBL,,
Mimulus ringens,MIMRIN,L.,4,,COMMON MONKEY-FLOWER,Scrophulariaceae,,OBL,forb,PE,full,MIRI,,DI,native,OBL,OBL,OBL,,
Mimulus sp.,MIMULU,L.,,,MONKEY-FLOWER,Scrophulariaceae,,OBL,forb,PE,full,MIMUL,,DI,,,,,,
Mirabilis albida,MIRALB,(Walter) Heimerl,0,,PALE UMBRELLA-WORT,Nyctaginaceae,,(UPL),forb,PE,advent,MIAL4,,DI,adventive,,,,,
Mirabilis hirsuta,MIRHIR,(Pursh) MacMill.,0,,HAIRY UMBRELLA-WORT,Nyctaginaceae,,(UPL),forb,PE,advent,MIHI,,DI,adventive,,,,,
Mirabilis jalapa,MIRJAL,L.,0,,FOUR-O'CLOCK,Nyctaginaceae,,(UPL),forb,PE,advent,MIJA,,DI,adventive,UPL,UPL,UPL,,
Mirabilis nyctaginea,MIRNYC,(Michx.) MacMill.,0,,HEART-LEAVED UMBRELLA-WORT,Nyctaginaceae,,FACU-,forb,PE,advent,MINY,,DI,adventive,FACU,UPL,UPL,,
Mirabilis sp.,MIRABI,L.,,,FOUR-O'CLOCK,Nyctaginaceae,,ND,forb,PE,advent,MIRAB,,DI,,,,,,
Miscanthus sinensis,MISSIN,Andersson,0,,EULALIA,Poaceae,,FACU,grass,PE,advent,MISI,,MO,adventive,FACU,UPL,UPL,,
Mitchella repens,MITREP,L.,5,,PARTRIDGE-BERRY,Rubiaceae,,FACU,forb,PE,shade,MIRE,,DI,native,FACU,FACU,FACU,,
Mitella diphylla,MITDIP,L.,6,,MITERWORT,Saxifragaceae,,FACU,forb,PE,shade,MIDI3,,DI,native,FACU,FACU,FACU,,
Moehringia trinervia,MOETRI,(L.) Clairv.,0,,THREE-NERVED SANDWORT,Caryophyllaceae,,(FACU-),forb,PE,advent,MOTR2,,DI,adventive,,,,,
Mollugo verticillata,MOLVER,L.,0,,CARPET-WEED,Molluginaceae,,FAC,forb,AN,advent,MOVE,,DI,adventive,FAC,FAC,FAC,,
Monarda clinopodia,MONCLI,L.,4,syn,BASIL BEE-BALM,Lamiaceae,,(FAC+),forb,PE,partial,MOCL,,DI,native,FACU,FACU,,,
Monarda didyma,MONDID,L.,6,,BEE-BALM,Lamiaceae,,FAC+,forb,PE,partial,MODI,,DI,native,FAC,UPL,FACU,,
Monarda fistulosa,MONFIS,L.,3,syn,WILD BERGAMOT,Lamiaceae,,UPL,forb,PE,full,MOFI,,DI,native,UPL,FACU,FACU,,
Monarda punctata,MONPUN,L.,7,,DOTTED HORSEMINT,Lamiaceae,321.00,UPL,forb,PE,full,MOPU,E,DI,native,UPL,UPL,UPL,,
Monarda sp.,MONARD,L.,,,BEE-BALM,Lamiaceae,,ND,forb,PE,ND,MONAR,,DI,,,,,,
Moneses uniflora,MONUNI,(L.) A. Gray,8,,ONE-FLOWERED WINTERGREEN,Pyrolaceae,,(FACU),forb,PE,shade,MOUN2,X,DI,native,,FAC,FAC,,
Monolepis nuttalliana,MONNUT,(Schult.) Greene,0,,POVERTY-WEED,Chenopodiaceae,,(UPL),forb,AN,advent,MONU,,DI,adventive,UPL,UPL,UPL,,
Monotropa hypopithys,MONHYP,L.,6,,PINESAP,Monotropaceae,,(UPL),forb,PE,shade,MOHY3,,DI,native,,,,,
Monotropa sp.,MONOTR,L.,,,INDIAN PIPE,Monotropaceae,,ND,forb,PE,shade,MONOT,,DI,,,,,,
Monotropa uniflora,MNTUNI,L.,5,,INDIAN PIPE,Monotropaceae,,FACU-,forb,PE,shade,MOUN3,,DI,native,FACU,FACU,FACU,,
Morus alba,MORALB,L.,0,,WHITE MULBERRY,Moraceae,,UPL,tree,W,advent,MOAL,,DI,adventive,UPL,FAC,FACU,,
Morus rubra,MORRUB,L.,7,,RED MULBERRY,Moraceae,,FACU,tree,W,tree,MORU2,,DI,native,FACU,FACU,FACU,,
Moss sp.,MOSS,ND,,,ND,Musci,,ND,bryo,BR,bryo,,,BR,native,,,,,
Moss sp. 2,MOSS,ND,*,,ND,Musci,,,bryo,bryo,bryo,,,,,,,,,bryo
Muhlenbergia asperifolia,MUHASP,(Nees & Meyen ex Trin.) Parodi,0,,SCRATCH GRASS,Poaceae,,FACW,grass,PE,advent,MUAS,,MO,adventive,FACW,FACW,FACW,,
Muhlenbergia capillaris,MUHCAP,(Lam.) Trin.,8,,HAIR GRASS,Poaceae,,FACU-,grass,PE,full,MUCA2,X,MO,native,FACU,FACU,FACU,,
Muhlenbergia cuspidata,MUHCUS,(Torr. ex Hook.) Rydb.,9,,PLAINS MUHLENBERGIA,Poaceae,,(UPL),grass,PE,full,MUCU3,E,MO,native,,,,,
Muhlenbergia frondosa,MUHFRO,(Poir.) Fernald,3,,COMMON SATIN GRASS,Poaceae,,FAC,grass,PE,full,MUFR2,,MO,native,FAC,FACW,FACW,,
Muhlenbergia glabrifloris,MUHGLA,Scribn.,5,,INLAND MUHLY,Poaceae,537.00,(FACW),grass,PE,shade,MUGL,E,MO,native,,FACU,,,
