SpeciesCode,WoodySpecies
LEPFAS,Leptochloa fascicularis
LEPFIL,Leptochloa filiformis
LEPCOG,Leptoloma cognatum
LESBIC,Lespedeza bicolor
LESCAP,Lespedeza capitata
LESCUN,Lespedeza cuneata
LESFOR,Lespedeza formosa
LESHIR,Lespedeza hirta
LESINT,Lespedeza intermedia
LESPRO,Lespedeza procumbens
LESREP,Lespedeza repens
LESPED,Lespedeza sp.
LESSTI,Lespedeza stipulacea
LESSTR,Lespedeza striata
LESTHU,Lespedeza thunbergii
LESVIO,Lespedeza violacea
LESVIR,Lespedeza virginica
LEUAES,Leucojum aestivum
LEUMUL,Leucospora multifida
LEVOFF,Levisticum officinale
LIAASP,Liatris aspera
LIACYL,Liatris cylindracea
LIAPUN,Liatris punctata
LIAPYC,Liatris pycnostachya
LIASCA,Liatris scariosa
LIATRIS,Liatris sp.
LIASPI,Liatris spicata
LIASQU,Liatris squarrosa
LIGCAN,Ligusticum canadense
LIGOBT,Ligustrum obtusifolium
LIGOVA,Ligustrum ovalifolium
LIGUST,Ligustrum sp.
LIGVUL,Ligustrum vulgare
LILCAN,Lilium canadense
LILMIC,Lilium michiganense
LILPHI,Lilium philadelphicum
LILIUM,Lilium sp.
LILSUP,Lilium superbum
LINCAN,Linaria canadensis
LINDAL,Linaria dalmatica
LINGEN,Linaria genistifolia
LINARI,Linaria sp.
LINVUL,Linaria vulgaris
LINBEN,Lindera benzoin
LINDUB,Lindernia dubia
LINBOR,Linnaea borealis
LINGRA,Linum grandiflorum
LINMED,Linum medium
LINPER,Linum perenne
LINUM,Linum sp.
LINSTR,Linum striatum
LINSUL,Linum sulcatum
LINUSI,Linum usitatissimum
LINVIR,Linum virginianum
LIPLIL,Liparis lilifolia
LIPLOE,Liparis loeselii
LIPARI,Liparis sp.
LIPDRU,Lipocarpha drummondii
LIPMIC,Lipocarpha micrantha
LIPOCA,Lipocarpha sp.
LIQSTY,Liquidambar styraciflua
LIRTUL,Liriodendron tulipifera
LISCOR,Listera cordata
LITARV,Lithospermum arvense
LITCAN,Lithospermum canescens
LITCAR,Lithospermum caroliniense
LITLAT,Lithospermum latifolium
LITOFF,Lithospermum officinale
LITHOS,Lithospermum sp.
LOBCAR,Lobelia cardinalis
LOBINF,Lobelia inflata
LOBKAL,Lobelia kalmii
LOBPUB,Lobelia puberula
LOBSIP,Lobelia siphilitica
LOBELI,Lobelia sp.
LOBSPI,Lobelia spicata
LOBMAR,Lobularia maritima
LOLMUL,Lolium multiflorum
LOLPER,Lolium perenne
LOLTEM,Lolium temulentum
LONCAN,Lonicera canadensis
LONDIO,Lonicera dioica
LONFLA,Lonicera flava
LONFRA,Lonicera fragrantissima
LONJAP,Lonicera japonica
LONMAA,Lonicera maackii
LONMOR,Lonicera morrowii
LONOBL,Lonicera oblongifolia
LONRET,Lonicera reticulata
LONSEM,Lonicera sempervirens
LONICE,Lonicera sp.
LONTAT,Lonicera tatarica
LONVIL,Lonicera villosa
LONXYL,Lonicera xylosteum
LOTCOR,Lotus corniculatus
LUDALT,Ludwigia alternifolia
LUDDEC,Ludwigia decurrens
LUDLEP,Ludwigia leptocarpa
LUDPAL,Ludwigia palustris
LUDPEP,Ludwigia peploides
LUDPOL,Ludwigia polycarpa
LUDWIG,Ludwigia sp.
LUNANN,Lunaria annua
LUNANN,Lunaria annual
LUNRED,Lunaria rediviva
LUPPER,Lupinus perennis
LUZACU,Luzula acuminata
LUZBUL,Luzula bulbosa
LUZECH,Luzula echinata
LUZMUL,Luzula multiflora
LUZULA,Luzula sp.
LYCCOR,Lychnis coronaria
LYCFLO,Lychnis flos-cuculi
LYCVIS,Lychnis viscaria
LYCBAR,Lycium barbarum
LYCESC,Lycopersicon esculentum
LYCAPP,Lycopodiella appressa
LYCINU,Lycopodiella inundata
LYCMAR,Lycopodiella margueritae
LYCOPD,Lycopodiella sp.
LYCSUB,Lycopodiella subappressa
LYCSUB,Lycopodiella subapressa
LYCCLA,Lycopodium clavatum
LYCDEN,Lycopodium dendroideum
LYCHIC,Lycopodium hickeyi
LYCLAG,Lycopodium lagopus
LYCOBS,Lycopodium obscurum
LYCOPO,Lycopodium sp.
LYCAME,Lycopus americanus
LYCASP,Lycopus asper
LYCEUR,Lycopus europaeus
LYCRUB,Lycopus rubellus
LYCOPU,Lycopus sp.
LYCUNI,Lycopus uniflorus
LYCVIR,Lycopus virginicus
LICSQU,Lycoris squamigera
LYGPAL,Lygodium palmatum
LYOLIG,Lyonia ligustrina
LYSCIL,Lysimachia ciliata
LYSLAN,Lysimachia lanceolata
LYSNUM,Lysimachia nummularia
LYSPUN,Lysimachia punctata
LYSQFL,Lysimachia quadriflora
LYSQFO,Lysimachia quadrifolia
LYSIMA,Lysimachia sp.
LYSTER,Lysimachia terrestris
LYSTHY,Lysimachia thyrsiflora
LYSVUL,Lysimachia vulgaris
LYTALA,Lythrum alatum
LYTHYS,Lythrum hyssopifolium
LYTSAL,Lythrum salicaria
LYTHRUM,Lythrum sp.
MACCOR,Macleaya cordata
MACPOM,Maclura pomifera
MAGACU,Magnolia acuminata
MAGMAC,Magnolia macrophylla
MAGNOL,Magnolia sp.
MAGTRI,Magnolia tripetala
MAICAN,Maianthemum canadense
MAIRAC,Maianthemum racemosum
MAIANT,Maianthemum sp.
MAISTE,Maianthemum stellatum
MAITRI,Maianthemum trifolium
MALBAY,Malaxis bayardii
MALAXI,Malaxis sp.
MALUNI,Malaxis unifolia
MALBAC,Malus baccata
MALTOR,Malus toringo
MALALC,Malva alcea
MALMOS,Malva moschata
MALNEG,Malva neglecta
MALROT,Malva rotundifolia
MALVA,Malva sp.
MALSYL,Malva sylvestris
MALVER,Malva verticillata
MANVIR,Manfreda virginica
MARVUL,Marrubium vulgare
MARQUA,Marsilea quadifolia
MARQUA,Marsilea quadrifolia
MATOBL,Matelea obliqua
MATMAR,Matricaria maritima
MATMAT,Matricaria matricarioides
MATREC,Matricaria recutita
MATRIC,Matricaria sp.
MATSTR,Matteuccia struthiopteris
MAZPUM,Mazus pumilus
MEDVIR,Medeola virginiana
MEDLUP,Medicago lupulina
MEDSAT,Medicago sativa
MEDICA,Medicago sp.
MEECOR,Meehania cordata
MELLIN,Melampyrum lineare
MELVIR,Melanthium virginicum
MELWOO,Melanthium woodii
MELNIT,Melica nitens
MELALB,Melilotus alba
MELALT,Melilotus altissima
MELOFF,Melilotus officinalis
MELILO,Melilotus sp.
MLIOFF,Melissa officinalis
MENCAN,Menispermum canadense
MENARV,Mentha arvensis
MENLON,Mentha longifolia
MENTHA,Mentha sp.
MENSPI,Mentha spicata
MENPIP,Mentha x piperata
MENTRI,Menyanthes trifoliata
MERANN,Mercurialis annua
MERVIR,Mertensia virginica
METGLY,Metasequoia glyptostroboides
MICVIM,Microstegium vimineum
MIKSCA,Mikania scandens
MILEFF,Milium effusum
MIMALA,Mimulus alatus
MIMRIN,Mimulus ringens
MIMULU,Mimulus sp.
MIRALB,Mirabilis albida
MIRHIR,Mirabilis hirsuta
MIRJAL,Mirabilis jalapa
MIRNYC,Mirabilis nyctaginea
MIRABI,Mirabilis sp.
MISSIN,Miscanthus sinensis
MITREP,Mitchella repens
MITDIP,Mitella diphylla
MOETRI,Moehringia trinervia
MOLVER,Mollugo verticillata
MONCLI,Monarda clinopodia
MONDID,Monarda didyma
MONFIS,Monarda fistulosa
MONPUN,Monarda punctata
MONARD,Monarda sp.
MONUNI,Moneses uniflora
MONNUT,Monolepis nuttalliana
MONHYP,Monotropa hypopithys
MONOTR,Monotropa sp.
MNTUNI,Monotropa uniflora
MORALB,Morus alba
MORRUB,Morus rubra
MOSS,Moss sp.
MOSS,Moss sp. 2
MUHASP,Muhlenbergia asperifolia
MUHCAP,Muhlenbergia capillaris
MUHCUS,Muhlenbergia cuspidata
MUHFRO,Muhlenbergia frondosa
MUHGLA,Muhlenbergia glabrifloris
MUHGLO,Muhlenbergia glomerata
MUHMEX,Muhlenbergia mexicana
MUHSCH,Muhlenbergia schreberi
MUHSOB,Muhlenbergia sobolifera
MUHLEN,Muhlenbergia sp.
MUHSYL,Muhlenbergia sylvatica
MUHTEN,Muhlenbergia tenuiflora
MUSBOT,Muscari botryoides
MYOARV,Myosotis arvensis
MYODIS,Myosotis discolor
MYOLAX,Myosotis laxa
MYOMAC,Myosotis macrosperma
MYOMIC,Myosotis micrantha
MYOSCO,Myosotis scorpioides
MYOSOT,Myosotis sp.
MYOSYL,Myosotis sylvatica
MYOVER,Myosotis verna
MYOMIN,Myosurus minimus
MYRPEN,Myrica pensylvanica
MYRAQU,Myriophyllum aquaticum
MYRHET,Myriophyllum heterophyllum
MYRHUM,Myriophyllum humile
MYRPIN,Myriophyllum pinnatum
MYRSIB,Myriophyllum sibiricum
MYRIOP,Myriophyllum sp.
MYRSPI,Myriophyllum spicatum
MYRVER,Myriophyllum verticillatum
MYOMIC,Mysotis micrantha
MYOSCO,Mysotis scorpioides
NAJFLE,Najas flexilis
NAJGRA,Najas gracillima
NAJGUA,Najas guadalupensis
NAJMARA,Najas marina
NAJMARA,Najas marina A
NAJMARN,Najas marina N
NAJMIN,Najas minor
NAJAS,Najas sp.
NAPDIO,Napaea dioica
NARPOE,Narcissus poeticus
NARPSE,Narcissus pseudonarcissus
NARCIS,Narcissus sp.
NAVINT,Navarretia intertexta
NELLUT,Nelumbo lutea
NELNUC,Nelumbo nucifera
NEMMUC,Nemopanthus mucronatus
NEPCAT,Nepeta cataria
NESPAN,Neslia paniculata
NICPHY,Nicandra physalodes
NICALA,Nicotiana alata
NICTAB,Nicotiana tabacum
NIGDAM,Nigella damascena
NOTBIV,Nothoscordum bivalve
NUPADV,Nuphar advena
NUPHAR,Nuphar sp.
NUPVAR,Nuphar variegata
NYMODO,Nymphaea odorata
NYMPEL,Nymphoides peltata
NYMPEL,Nympoides peltata
NYSSYL,Nyssa sylvatica
OBOVIR,Obolaria virginica
OCLACU,Oclemena acuminata
OCLEME,Oclemena sp.
OENAQU,Oenanthe aquatica
OENBIE,Oenothera biennis
OENCLE,Oenothera clelandii
OENFRU,Oenothera fruticosa
OENLAC,Oenothera laciniata
OENOAK,Oenothera oakesiana
OENPAR,Oenothera parviflora
OENPER,Oenothera perennis
OENPIL,Oenothera pilosella
OENOTH,Oenothera sp.
OENSPE,Oenothera speciosa
OENTET,Oenothera tetragona
OENTRI,Oenothera triloba
ONOSEN,Onoclea sensibilis
ONOACA,Onopordium acanthium
ONOMOL,Onosmodium molle
OPHENG,Ophioglossum engelmannii
OPHPUS,Ophioglossum pusillum
OPHIOG,Ophioglossum sp.
OPHVUL,Ophioglossum vulgatum
OPUHUM,Opuntia humifusa
OPUMAC,Opuntia macrorhiza
ORBONO,Orbexilum onobrychis
ORBPED,Orbexilum pedunculatum
ORBEXI,Orbexilum sp.
ORCSPE,Orchis spectabilis
ORIVUL,Origanum vulgare
ORNUMB,Ornithogalum umbellatum
OROLUD,Orobanche ludoviciana
ORORIP,Orobanche riparia
OROBAN,Orobanche sp.
OROUNI,Orobanche uniflora
ORYASP,Oryzopsis asperifolia
ORYRAC,Oryzopsis racemosa
ORYZOP,Oryzopsis sp.
OSMOCL,Osmorhiza claytonii
OSMOLO,Osmorhiza longistylis
OSMORH,Osmorhiza sp.
OSMCIN,Osmunda cinnamomea
OSMCLA,Osmunda claytoniana
OSMREG,Osmunda regalis
OSTVIR,Ostrya virginiana
OXAACE,Oxalis acetosella
OXACOR,Oxalis corniculata
OXADIL,Oxalis dillenii
OXAGRA,Oxalis grandis
OXALIS,Oxalis sp.
OXASTR,Oxalis stricta
OXAVIO,Oxalis violacea
OXYARB,Oxydendron arboreum
OXYARB,Oxydendrum arboreum
OXYRIG,Oxypolis rigidior
ORYZOP,Oyrzopsis sp.
PACTER,Pachysandra terminalis
PANQUI,Panax quinquefolius
PANAX,Panax sp.
PANTRI,Panax trifolius
PANACU,Panicum acuminatum
PANANC,Panicum anceps
PANBOR,Panicum boreale
PANBOS,Panicum boscii
PANCAP,Panicum capillare
PANCLA,Panicum clandestinum
PANCOL,Panicum columbianum
PANCOMO,Panicum commonsianum
PANCOMU,Panicum commutatum
PANDEP,Panicum depauperatum
PANDICT,Panicum dichotomiflorum
PANDICO,Panicum dichotomum
PANFLE,Panicum flexile
PANGAT,Panicum gattingeri
PANIMP,Panicum implicatum
PANLAN,Panicum lanuginosum
PANLAT,Panicum latifolium
PANLAX,Panicum laxiflorum
PANLEI,Panicum leibergii
PANLIND,Panicum lindheimeri
PANLINE,Panicum linearifolium
PANLON,Panicum longifolium
PANMER,Panicum meridionale
PANMIC,Panicum microcarpon
PANMIL,Panicum miliaceum
PANOLI,Panicum oligosanthes
PANPER,Panicum perlongum
PANPHI,Panicum philadelphicum
PANPOL,Panicum polyanthes
PANPRA,Panicum praecocius
PANRIG,Panicum rigidulum
PANSCO,Panicum scoparium
PANICU,Panicum sp.
PANSPH,Panicum sphaerocarpon
PANSPR,Panicum spretum
PANTUC,Panicum tuckermanii
PANVER,Panicum verrucosum
PANVIL,Panicum villosissimum
PANVIR,Panicum virgatum
PANYAD,Panicum yadkinense
PAPARG,Papaver argemone
PAPDUB,Papaver dubium
PAPRHO,Papaver rhoeas
PAPSOM,Papaver somniferum
PAPAVE,Papaver sp.
PARPEN,Parietaria pensylvanica
PARGLA,Parnassia glauca
PARCAN,Paronychia canadensis
PARFAS,Paronychia fastigiata
PARONY,Paronychia sp.
PARHYS,Parthenium hysterophorus
PARINT,Parthenium integrifolium
PARQUI,Parthenocissus quinquefolia
PARTHE,Parthenocissus sp.
PARVIT,Parthenocissus vitacea
PASFLO,Paspalum floridanum
PASLAE,Paspalum laeve
PASPUB,Paspalum pubiflorum
PASFLU,Paspalum repens
PASSET,Paspalum setaceum
PASPAL,Paspalum sp.
PASINC,Passiflora incarnata
PASLUT,Passiflora lutea
PASSIF,Passiflora sp.
PASSAT,Pastinaca sativa
PAUTOM,Paulownia tomentosa
PAXCAN,Paxistima canbyi
PEDCAN,Pedicularis canadensis
PEDLAN,Pedicularis lanceolata
PEDICU,Pedicularis sp.
PELATR,Pellaea atropurpurea
PELGLA,Pellaea glabella
PELLAE,Pellaea sp.
PELVIR,Peltandra virginica
PENALO,Pennisetum alopecuroides
PENCOB,Penstemon cabaea
PENCAL,Penstemon calycosus
PENCAN,Penstemon canescens
PENCOB,Penstemon cobaea
PENDIG,Penstemon digitalis
PENGRA,Penstemon grandiflorus
PENHIR,Penstemon hirsutus
PENLAE,Penstemon laevigatus
PENPAL,Penstemon pallidus
PENSTE,Penstemon sp.
PENTUB,Penstemon tubaeflorus
PENSED,Penthorum sedoides
PERAME,Perideridia americana
PERFRU,Perilla frutescens
PERAMP,Persicaria amphibia
PERARI,Persicaria arifolia
PERCAR,Persicaria careyi
PERHYD,Persicaria hydropiper
PERHDR,Persicaria hydropiperoides
PERLAP,Persicaria lapathifolium
PERLON,Persicaria longisetum
PERMAC,Persicaria maculosa
PERORI,Persicaria orientalis
PERPEN,Persicaria pensylvanica
PERPUN,Persicaria punctata
PERROB,Persicaria robustior
PERSAG,Persicaria sagittata
PERSET,Persicaria setacea
PERSIC,Persicaria sp.
PERVIR,Persicaria virginiana
PETHYB,Petasites hybridus
PETPRO,Petrorhagia prolifera
PETSAX,Petrorhagia saxifraga
PETCRI,Petroselinum crispum
PTNHYB,Petunia x hybrida
PHABIP,Phacelia bipinnatifida
PHARAN,Phacelia covillei
PHADUB,Phacelia dubia
PHAPUR,Phacelia purshii
PHARAN,Phacelia ranunculacea
PHACEL,Phacelia sp.
PHAARU,Phalaris arundinacea
PHACAN,Phalaris canariensis
PHACOC,Phaseolus coccineus
PHAPOL,Phaseolus polystachios
PHAVUL,Phaseolus vulgaris
PHICOR,Philadelphus coronarius
PHIINO,Philadelphus inodorus
PHIPUB,Philadelphus pubescens
PHLPRA,Phleum pratense
PHLDIV,Phlox divaricata
PHLGLA,Phlox glaberrima
PHLMAC,Phlox maculata
PHLOVA,Phlox ovata
PHLPAN,Phlox paniculata
PHLPIL,Phlox pilosa
PHLOX,Phlox sp.
PHLSTO,Phlox stolonifera
PHLSUBA,Phlox subulata
PHLSUBA,Phlox subulata A
PHLSUBN,Phlox subulata N
PHOSER,Phoradendron serotinum
PHRAUSAM,Phragmites australis ssp. americanus
PHRAUSAU,Phragmites australis ssp. australis
PHRLEP,Phryma leptostachya
PHYLAN,Phyla lanceolata
PHYCAR,Phyllanthus caroliniensis
PHYALK,Physalis alkekengi
PHYHET,Physalis heterophylla
PHYHIS,Physalis hispida
PHYLON,Physalis longifolia
PHYPHI,Physalis philadelphica
PHYPUB,Physalis pubescens
PHYSAL,Physalis sp.
PHYVIR,Physalis virginiana
PHYOPU,Physocarpus opulifolius
PHSVIR,Physostegia virginiana
PHYAME,Phytolacca americana
PICABI,Picea abies
PICECH,Picris echioides
PICHIE,Picris heiracioides
PICHIE,Picris hieracioides
PILFON,Pilea fontana
PILPUM,Pilea pumila
PILEA,Pilea sp.
PINBAN,Pinus banksiana
PINECH,Pinus echinata
PINNIG,Pinus nigra
PINPUN,Pinus pungens
PINRES,Pinus resinosa
PINRIG,Pinus rigida
PINUS,Pinus sp.
PINSTRA,Pinus strobus
PINSYL,Pinus sylvestris
PINVIR,Pinus virginiana
PIPAVE,Piptochaetium avenaceum
PLANAR,Plantago aristata
PLANCO,Plantago cordata
PLANLA,Plantago lanceolata
PLANMA,Plantago major
PLANPA,Plantago patagonica
PLANPS,Plantago psyllium
PLANRU,Plantago rugelii
PLANTA,Plantago sp.
PLANVI,Plantago virginica
PLAAQU,Platanthera aquilonis
PLABLE,Platanthera blephariglottis
PLACIL,Platanthera ciliaris
PLACLA,Platanthera clavellata
PLAFLA,Platanthera flava
PLAGRA,Platanthera grandiflora
PLAHOO,Platanthera hookeri
PLALAC,Platanthera lacera
PLALEU,Platanthera leucophaea
PLAORB,Platanthera orbiculata
PLAPER,Platanthera peramoena
PLAPSY,Platanthera psycodes
PLATAN,Platanthera sp.
PLAOCC,Platanus occidentalis
PLEPOL,Pleopeltis polypodioides
PLUCAM,Pluchea camphorata
PLUODO,Pluchea odorata
PLUSPP,Pluchea sp.
POAALS,Poa alsodes
POAANN,Poa annua
POABUL,Poa bulbosa
POACHA,Poa chapmaniana
POACOM,Poa compressa
POACUS,Poa cuspidata
POALAN,Poa languida
POANEM,Poa nemoralis
POAPLU,Poa paludigena
POAPAL,Poa palustris
POAPRA,Poa pratensis
POASAL,Poa saltuensis
POA,Poa sp.
POASYL,Poa sylvestris
POATRI,Poa trivialis
POAWOL,Poa wolfii
PODPEL,Podophyllum peltatum
PODCER,Podostemum ceratophyllum
POGOPH,Pogonia ophioglossoides
POLDOD,Polanisia dodecandra
POLJAM,Polanisia jamesii
POLJAM,Polansia jamesii
POLCAE,Polemonium caeruleum
POLREP,Polemonium reptans
PLYCRU,Polygala cruciata
PLYCUR,Polygala curtissii
PLYINC,Polygala incarnata
PLYPAU,Polygala paucifolia
PLYPOL,Polygala polygama
PLYSAN,Polygala sanguinea
PLYSEN,Polygala senega
POLYGA,Polygala sp.
PLYVER,Polygala verticillata
POLBIF,Polygonatum biflorum
POLPUB,Polygonatum pubescens
POLYGO,Polygonatum sp.
PLGACH,Polygonum achoreum
PLGAMP,Polygonum amphibium
PLGARE,Polygonum arenastrum
PLGARI,Polygonum arifolium
PLGAVI,Polygonum aviculare
PLGCAR,Polygonum careyi
PLGCES,Polygonum cespitosum
PLGCIL,Polygonum cilinode
PLGCON,Polygonum convolvulus
PLGCUS,Polygonum cuspidatum
PLGERE,Polygonum erectum
PLGHPR,Polygonum hydropiper
PLGHPO,Polygonum hydropiperoides
PLGLAP,Polygonum lapathifolium
PLGORI,Polygonum orientale
PLGPEN,Polygonum pensylvanicum
PLGPER,Polygonum persicaria
PLGPUN,Polygonum punctatum
PLGRAM,Polygonum ramosissimum
PLGROB,Polygonum robustius
PLGSAC,Polygonum sachalinense
PLGSAG,Polygonum sagittatum
PLGSCA,Polygonum scandens
PLGSET,Polygonum setaceum
POLYGN,Polygonum sp.
PLGTEN,Polygonum tenue
PLGVIR,Polygonum virginianum
POLCAN,Polymnia canadensis
POLYMN,Polymnia sp.
POLUVE,Polymnia uvedalia
POLAPP,Polypodium appalachianum
POLYPOD,Polypodium sp.
POLVIG,Polypodium virginianum
POLACR,Polystichum acrostichoides
PONCOR,Pontederia cordata
POPALB,Populus alba
POPBAL,Populus balsamifera
POPDEL,Populus deltoides
POPGRA,Populus grandidentata
POPHET,Populus heterophylla
POPNIG,Populus nigra L. var. italica
POPNIG,Populus nigra var. italica
POPULU,Populus sp.
POPTRE,Populus tremuloides
PORTER,Porteranthus sp.
PORSTI,Porteranthus stipulatus
PORTRI,Porteranthus trifoliatus
PORGRA,Portulaca grandiflora
POROLE,Portulaca oleracea
PTMAMP,Potamogeton amplifolius
PTMCRI,Potamogeton crispus
PTMDIV,Potamogeton diversifolius
PTMEPI,Potamogeton epihydrus
PTMFOL,Potamogeton foliosus
PTMFRI,Potamogeton friesii
PTMGRA,Potamogeton gramineus
PTMHIL,Potamogeton hillii
PTMILL,Potamogeton illinoensis
PTMNAT,Potamogeton natans
PTMNOD,Potamogeton nodosus
PTMPER,Potamogeton perfoliatus
PTMPRA,Potamogeton praelongus
PTMPUL,Potamogeton pulcher
PTMPUS,Potamogeton pusillus
PTMRIC,Potamogeton richardsonii
PTMROB,Potamogeton robbinsii
POTAMO,Potamogeton sp.
PTMSPI,Potamogeton spirillus
PTMSTR,Potamogeton strictifolius
PTMTEN,Potamogeton tennesseensis
PTMVAS,Potamogeton vaseyi
PTMZOS,Potamogeton zosteriformis
POTANS,Potentilla anserina
POTARG,Potentilla argentea
POTARU,Potentilla arguta
POTCAN,Potentilla canadensis
POTFRU,Potentilla fruticosa
POTINC,Potentilla inclinata
POTINT,Potentilla intermedia
POTNOR,Potentilla norvegica
POTPAL,Potentilla palustris
POTPAR,Potentilla paradoxa
POTREC,Potentilla recta
POTREP,Potentilla reptans
POTSIM,Potentilla simplex
POTENT,Potentilla sp.
PREALB,Prenanthes alba
PREALT,Prenanthes altissima
PREASP,Prenanthes aspera
PRECRE,Prenanthes crepidinea
PRERAC,Prenanthes racemosa
PRESER,Prenanthes serpentaria
PRENAN,Prenanthes sp.
PRETRI,Prenanthes trifoliolata
PROLOU,Proboscidea louisianica
PROLAN,Prosartes lanuginosa
PROMAC,Prosartes maculata
PROSAR,Prosartes sp.
PROPAL,Proserpinaca palustris
PRUVUL,Prunella vulgaris
PRUAME,Prunus americana
PRUARM,Prunus armeniaca
PRUAVE,Prunus avium
PRUCER,Prunus cerasus
PRUHOR,Prunus hortulana
PRUMAH,Prunus mahaleb
PRUMEX,Prunus mexicana
PRUMUN,Prunus munsoniana
PRUNIG,Prunus nigra
PRUPEN,Prunus pensylvanica
PRUPER,Prunus persica
PRUPUM,Prunus pumila
PRUSER,Prunus serotina
PRUNUS,Prunus sp.
PRUTOM,Prunus tomentosa
PRUVIR,Prunus virginiana
PTETRI,Ptelea trifoliata
PTEAQU,Pteridium aquilinum
PUCDIS,Puccinellia distans
PUCPAL,Puccinellia pallida
PUCCIN,Puccinellia sp.
PUELOB,Pueraria lobata
PYCINC,Pycnanthemum incanum
PYCMUT,Pycnanthemum muticum
PYCPYC,Pycnanthemum pycnanthemoides
PYCNAN,Pycnanthemum sp.
PYCTEN,Pycnanthemum tenuifolium
PYCVERP,Pycnanthemum verticillatum var. pilosum
PYCVERV,Pycnanthemum verticillatum var. verticillatum
PYCVIR,Pycnanthemum virginianum
PYRCHL,Pyrola chlorantha
PYRELL,Pyrola elliptica
PYRROT,Pyrola rotundifolia var. americana
PYRSEC,Pyrola secunda
PYROLA,Pyrola sp.
PYROLA,Pyroloa sp.
PYRANG,Pyrus angustifolia
PYRCAL,Pyrus calleryana
PYRCAL,Pyrus callieryana
PYRCOM,Pyrus communis
PYRCOR,Pyrus coronaria
PYRFLO,Pyrus floribunda
PYRIOE,Pyrus ioensis
PYRMAL,Pyrus malus
PYRUS,Pyrus sp.
QUEALB,Quercus alba
QUEBIC,Quercus bicolor
QUECOC,Quercus coccinea
QUEFAL,Quercus falcata
QUEIMB,Quercus imbricaria
QUEMAC,Quercus macrocarpa
QUEMAR,Quercus marilandica
QUEMUE,Quercus muehlenbergii
QUEPAL,Quercus palustris
QUEPRI,Quercus prinus
QUERUB,Quercus rubra
QUESHU,Quercus shumardii
QUERCU,Quercus sp.
QUESTE,Quercus stellata
QUEVEL,Quercus velutina
RANABO,Ranunculus abortivus
RANACR,Ranunculus acris
RANALL,Ranunculus allegheniensis
RANAMB,Ranunculus ambigens
RANBUL,Ranunculus bulbosus
RANFAS,Ranunculus fascicularis
RANFIC,Ranunculus ficaria
RANFLA,Ranunculus flabellaris
RANHIS,Ranunculus hispidus
RANLON,Ranunculus longirostris
RANMIC,Ranunculus micranthus
RANPEN,Ranunculus pensylvanicus
RANPUS,Ranunculus pusillus
RANREC,Ranunculus recurvatus
RANREP,Ranunculus repens
RANSCE,Ranunculus sceleratus
RANUNC,Ranunculus sp.
RANTES,Ranunculus testiculatus
RAPRAP,Raphanus raphanistrum
RAPSAT,Raphanus sativus
RASPP,Raphanus sp.
RATPIN,Ratibida pinnata
RESALB,Reseda alba
RESLUT,Reseda luteola
RESSPP,Reseda sp.
RHAALN,Rhamnus alnifolia
RHACAR,Rhamnus caroliniana
RHACAT,Rhamnus cathartica
RHAFRA,Rhamnus frangula
RHALAN,Rhamnus lanceolata
RHAMNU,Rhamnus sp.
RHERHA,Rheum rhabarbarum
RHEVIR,Rhexia virginica
RHOCAL,Rhododendron calendulaceum
RHOMAX,Rhododendron maximum
RHOPER,Rhododendron periclymenoides
RHOPRI,Rhododendron prinophyllum
RHODOD,Rhododendron sp.
RHUAARE,Rhus aromatica Aiton var. arenaria
RHUAARE,Rhus aromatica var. arenaria
RHUAARO,Rhus aromatica var. aromatica
RHUCOP,Rhus copallinum
RHUGLA,Rhus glabra
RHUS,Rhus sp.
RHUTYP,Rhus typhina
RHYALB,Rhynchospora alba
RHYCPC,Rhynchospora capillacea
RHYCPT,Rhynchospora capitellata
RHYREC,Rhynchospora recognita
RHYNCH,Rhynchospora sp.
RIBAME,Ribes americanum
RIBCYN,Ribes cynosbati
RIBGLA,Ribes glandulosum
RIBHIR,Ribes hirtellum
RIBMIS,Ribes missouriense
RIBODO,Ribes odoratum
RIBROT,Ribes rotundifolium
RIBSAT,Ribes sativum
RIBES,Ribes sp.
RIBTRI,Ribes triste
RIBUVA,Ribes uva-crispa
RICFLU,Riccia fluitans
RICNAT,Ricciocarpos natans
RICCOM,Ricinus communis
ROBHIS,Robinia hispida
ROBPSE,Robinia pseudoacacia
ROBVIS,Robinia viscosa
RORAQU,Rorippa aquatica
RORNAS,Rorippa nasturtium-aquaticum
RORPAL,Rorippa palustris
RORSES,Rorippa sessiliflora
RORIPP,Rorippa sp.
RORSYL,Rorippa sylvestris
ROSARK,Rosa arkansana
ROSBLA,Rosa blanda
ROSCAN,Rosa canina
ROSCAR,Rosa carolina
ROSEGL,Rosa eglanteria
ROSGAL,Rosa gallica
ROSMAJ,Rosa majalis
ROSMIC,Rosa micrantha
ROSMUL,Rosa multiflora
ROSNIT,Rosa nitida
ROSPAL,Rosa palustris
ROSRUG,Rosa rugosa
ROSSET,Rosa setigera
ROSA,Rosa sp.
ROSWIC,Rosa wichuraiana
ROSWIC,Rosa wichuriana
ROTRAM,Rotala ramosior
RUBALL,Rubus allegheniensis
RUBCAE,Rubus caesius
RUBDIS,Rubus discolor
RUBFLA,Rubus flagellaris
RUBHIS,Rubus hispidus
RUBIDAS,Rubus idaeus L. var. strigosus
RUBIDAI,Rubus ideaus L. var. ideaus
RUBLAC,Rubus laciniatus
RUBOCC,Rubus occidentalis
