SpeciesCode,WoodySpecies
BROBRI,Bromus brizaeformis
BROCIL,Bromus ciliatus
BROCOM,Bromus commutatus
BROHOR,Bromus hordaceus
BROHOR,Bromus hordeaceus
BROINE,Bromus inermis
BROJAP,Bromus japonicus
BROKAL,Bromus kalmii
BROALT,Bromus latiglumis
BRONOT,Bromus nottowayanus
BROPUB,Bromus pubescens
BROSEC,Bromus secalinus
BROMUS,Bromus sp.
BROTEC,Bromus tectorum
BROPAP,Broussonetia papyrifera
BROAME,Browallia americana
BUCAME,Buchnera americana
BUDDAV,Buddleja davidii
BULCAP,Bulbostylis capillaris
BUNORI,Bunias orientalis
BUPLAN,Bupleurum lancifolium
BUPROT,Bupleurum rotundifolium
BUTUMB,Butomus umbellatus
BUXSEM,Buxus sempervirens
CABCAR,Cabomba caroliniana
CACATR,Cacalia atriplicifolia
CACMUH,Cacalia muhlenbergii
CACPLA,Cacalia plantaginea
CACALI,Cacalia sp.
CACSUA,Cacalia suaveolens
CAKEDE,Cakile edentula
CALCAN,Calamagrostis canadensis
CALCIN,Calamagrostis cinnoides
CALINS,Calamagrostis insperata
CALAMA,Calamagrostis sp.
CALSTR,Calamagrostis stricta
CALARK,Calamintha arkansana
CLLPAL,Calla palustris
CALHET,Callitriche heterophylla
CALPAL,Callitriche palustris
CALLIT,Callitriche sp.
CALTER,Callitriche terrestris
CALTUB,Calopogon tuberosus
CLTPAL,Caltha palustris
CALFLOG,Calycanthus floridus L. var. glaucus
CALFLOG,Calycanthus floridus var. glaucus
CALHED,Calystegia hederacea
CALSEP,Calystegia sepium
CALYST,Calystegia sp.
CALSPI,Calystegia spithamaea
CAMSCI,Camassia scilloides
CAMMIC,Camelina microcarpa
CAMSAT,Camelina sativa
CAMELI,Camelina sp.
CAMAME,Campanula americana
CAMAPA,Campanula aparinoides
CAMRAP,Campanula rapunculoides
CAMROT,Campanula rotundifolia
CAMPAN,Campanula sp.
CAMTRA,Campanula trachelium
CAMRAD,Campsis radicans
CANSAT,Cannabis sativa
CAPBUR,Capsella bursa-pastoris
CARANG,Cardamine angustata
CARCON,Cardamine concatenata
CARDIP,Cardamine diphylla
CARDIS,Cardamine dissecta
CARDOU,Cardamine douglassii
CARFLE,Cardamine flexuosa
CARHIR,Cardamine hirsuta
CARIMP,Cardamine impatiens
CARPAR,Cardamine parviflora
CARPEN,Cardamine pensylvanica
CARPRA,Cardamine pratensis
CARRHO,Cardamine rhomboidea
CARROT,Cardamine rotundifolia
CARDAM,Cardamine sp.
CARDRA,Cardaria draba
CARHAL,Cardiospermum halicacabum
CARACA,Carduus acanthoides
CARNUT,Carduus nutans
CARDUU,Carduus sp.
CXAGGR,Carex aggregata
CXALAT,Carex alata
CXALBAA,Carex albicans var. albicans
CXALBEE,Carex albicans var. emmonsii
CXALBEE,Carex albicans Willd. ex Spreng. var. emmonsii
CXALBO,Carex albolutescens
CXALBU,Carex albursina
CXALOP,Carex alopecoidea
CXAMPH,Carex amphibola
CXANNE,Carex annectens
CXAPPA,Carex appalachica
CXAQUA,Carex aquatilis
CXARCT,Carex arctata
CXARGY,Carex argyrantha
CXATHE,Carex atherodes
CXATLAC,Carex atlantica L.H. Bailey subsp. capillacea
CXATLAA,Carex atlantica subsp. atlantica
CXATLAC,Carex atlantica subsp. capillacea
CXAURE,Carex aurea
CXAUST,Carex austrina
CXBEBB,Carex bebbii
CXBICK,Carex bicknellii
CXBLAN,Carex blanda
CXBREV,Carex brevior
CXBROM,Carex bromoides
CXBRUN,Carex brunnescens
CXBUSH,Carex bushii
CXBUXB,Carex buxbaumii
CXCANE,Carex canescens
CXCARE,Carex careyana
CXCARO,Carex caroliniana
CXCPHLO,Carex cephaloidea
CXCPHLA,Carex cephalophora
CXCHER,Carex cherokeensis
CXCOMM,Carex communis
CXCOMO,Carex comosa
CXCOMP,Carex complanata
CXCONJ,Carex conjuncta
CXCONO,Carex conoidea
CXCRAW,Carex crawei
CXCRINB,Carex crinita Lam. var. brevicrinis
CXCRINB,Carex crinita var. brevicrinis
CXCRINC,Carex crinita var. crinita
CXCRIS,Carex cristatella
CXCRUS,Carex crus-corvi
CXCRYP,Carex cryptolepis
CXCUMB,Carex cumberlandensis
CXDAVI,Carex davisii
CXDEBIR,Carex debilis Michx. var. rudgei
CXDEBID,Carex debilis var. debilis
CXDEBIR,Carex debilis var. rudgei
CXDECO,Carex decomposita
CXDEWE,Carex deweyana
CXDIAN,Carex diandra
CXDIGI,Carex digitalis
CXDISP,Carex disperma
CXEBUR,Carex eburnea
CXECHI,Carex echinata
CXEMOR,Carex emoryi
CXFEST,Carex festucacea
CXFLAV,Carex flava
CXFOLL,Carex folliculata
CXFORM,Carex formosa
CXFRAN,Carex frankii
CXGARB,Carex garberi
CXGIGA,Carex gigantea
CXGLAU,Carex glaucodea
CXGRCLE,Carex gracilescens
CXGRCLI,Carex gracillima
CXGRAN,Carex granularis
CXGRAY,Carex grayi
CXGRIS,Carex grisea
CXGYNA,Carex gynandra
CXHAYD,Carex haydenii
CXHIRS,Carex hirsutella
CXHIRT,Carex hirtifolia
CXHITC,Carex hitchcockiana
CXHYAL,Carex hyalinolepis
CXHYST,Carex hystericina
CXINTE,Carex interior
CXINTU,Carex intumescens
CXJAME,Carex jamesii
CXJUNI,Carex juniperorum
CXKRAL,Carex kraliana
CXLACU,Carex lacustris
CXLAEV,Carex laevivaginata
CXLASI,Carex lasiocarpa
CXLAXC,Carex laxiculmis
CXLAXF,Carex laxiflora
CXLEAV,Carex leavenworthii
CXLEPTA,Carex leptalea
CXLPTON,Carex leptonervia
CXLIM,Carex limosa
CXLONG,Carex longii
CXLOUS,Carex louisianica
CXLUCO,Carex lucorum
CXLUPF,Carex lupuliformis
CXLUPL,Carex lupulina
CXLURI,Carex lurida
CXMEAD,Carex meadii
CXMERF,Carex merritt-fernaldii
CXMESO,Carex mesochorea
CXMITC,Carex mitchelliana
CXMOLE,Carex molesta
CXMOLS,Carex molestiformis
CXMUHL,Carex muehlenbergii
CXMUHL,Carex muhlenbergii
CXMUSK,Carex muskingumensis
CXNIGR,Carex nigromarginata
CXNORM,Carex normalis
CXOLIGC,Carex oligocarpa
CXOLIGS,Carex oligosperma
CXPALL,Carex pallescens
CXPECK,Carex peckii
CXPEDU,Carex pedunculata
CXPELL,Carex pellita
CXPENS,Carex pensylvanica
CXPLAN,Carex planispicata
CXPLNT,Carex plantaginea
CXPLAT,Carex platyphylla
CXPRAE,Carex praegracilis
CXPRAI,Carex prairea
CXPRAS,Carex prasina
CXPROJ,Carex projecta
CXPSEU,Carex pseudocyperus
CXPURP,Carex purpurifera
CXRADI,Carex radiata
