Species,Other_species_not_on_dropdown_list,Module,CoverClass_LT_6m,CoverClassAll,EditDate,HerbSiteName
Symphyotrichum prenanthoides,,3,2,2,8/3/2023 15:48,526SB3
Toxicodendron radicans,,3,2,2,8/3/2023 15:48,526SB3
Symphyotrichum lateriflorum,,3,3,3,8/3/2023 15:48,526SB3
Symphyotrichum lanceolatum,,3,3,3,8/3/2023 15:48,526SB3
Cinna arundinacea,,3,2,2,8/3/2023 15:48,526SB3
Elymus virginicus,,3,2,2,8/3/2023 15:48,526SB3
Mentha arvensis,,3,7,7,8/3/2023 15:48,526SB3
Sparganium eurycarpum,,3,2,2,8/3/2023 15:48,526SB3
Leersia oryzoides,,3,4,4,8/3/2023 15:48,526SB3
Lindera benzoin,,3,2,2,8/3/2023 15:48,526SB3
Asclepias incarnata,,3,2,2,8/3/2023 15:48,526SB3
Ranunculus hispidus var. nitidus ,Ranunculus septentrionalis,3,2,2,8/3/2023 15:48,526SB3
Lycopus uniflorus,,3,5,5,8/3/2023 15:48,526SB3
Scutellaria lateriflora,,3,5,5,8/3/2023 15:48,526SB3
Iris pseudacorus,,3,3,3,8/3/2023 15:48,526SB3
Typha x glauca,,3,3,3,8/3/2023 15:48,526SB3
Scirpus polyphyllus,,3,4,4,8/3/2023 15:48,526SB3
Impatiens capensis,,3,4,4,8/3/2023 15:48,526SB3
Rosa multiflora,,3,3,3,8/3/2023 15:48,526SB3
Salix amygdaloides,Salix amygdaloides,3,2,5,8/3/2023 15:48,526SB3
Fraxinus pennsylvanica,,3,5,5,8/3/2023 15:48,526SB3
Fraxinus nigra,,3,6,6,8/3/2023 15:48,526SB3
Ulmus americana,,3,6,6,8/3/2023 15:48,526SB3
Solidago rugosa,,3,2,2,8/3/2023 15:48,526SB3
Senecio aureus,,3,2,2,8/3/2023 15:48,526SB3
Cicuta maculata,,3,2,2,8/3/2023 15:48,526SB3
Cornus racemosa,Foemina,3,2,2,8/3/2023 15:48,526SB3
Pedicularis lanceolata,,3,2,2,8/3/2023 15:48,526SB3
Galium triflorum,,3,2,2,8/3/2023 15:48,526SB3
Microstegium vimineum,,3,2,2,8/3/2023 15:48,526SB3
Ligustrum vulgare,,3,2,2,8/3/2023 15:48,526SB3
Carex gracillima,,3,2,2,8/3/2023 15:48,526SB3
Plantago major,,3,2,2,8/3/2023 15:48,526SB3
Equisetum arvense,,3,8,8,8/3/2023 15:48,526SB3
Solidago gigantea,,3,2,2,8/3/2023 15:48,526SB3
Carex cristatella,,3,2,2,8/3/2023 15:48,526SB3
Chelone glabra,,3,2,2,8/3/2023 15:48,526SB3
Glyceria striata,,3,6,6,8/3/2023 15:48,526SB3
Iris sp.,,8,6,6,8/3/2023 15:48,526SB3
Leersia oryzoides,,8,9,9,8/3/2023 15:48,526SB3
Sparganium eurycarpum,,8,5,5,8/3/2023 15:48,526SB3
Boehmeria cylindrica,,8,2,2,8/3/2023 15:48,526SB3
Carex stipata,,8,4,4,8/3/2023 15:48,526SB3
Lysimachia terrestris,,8,3,3,8/3/2023 15:48,526SB3
Onoclea sensibilis,,8,2,2,8/3/2023 15:48,526SB3
Asclepias incarnata,,8,2,2,8/3/2023 15:48,526SB3
Cephalanthus occidentalis,,8,4,4,8/3/2023 15:48,526SB3
Cornus racemosa,,8,3,3,8/3/2023 15:48,526SB3
Carex cristatella,,8,3,3,8/3/2023 15:48,526SB3
Poa trivialis,,8,5,5,8/3/2023 15:48,526SB3
Chelone glabra,,8,2,2,8/3/2023 15:48,526SB3
Pilea pumila,,8,2,2,8/3/2023 15:48,526SB3
Mentha arvensis,,8,6,6,8/3/2023 15:48,526SB3
Scutellaria lateriflora,,8,5,5,8/3/2023 15:48,526SB3
Equisetum arvense,,8,7,7,8/3/2023 15:48,526SB3
Ranunculus hispidus var. nitidus ,Ranunculus septentrionalis ,8,6,6,8/3/2023 15:48,526SB3
Rosa multiflora,,8,3,3,8/3/2023 15:48,526SB3
Glyceria striata,,8,3,3,8/3/2023 15:48,526SB3
Toxicodendron radicans,,8,2,2,8/3/2023 15:48,526SB3
Lysimachia nummularia,,8,4,4,8/3/2023 15:48,526SB3
Lycopus uniflorus,,8,4,4,8/3/2023 15:48,526SB3
Salix nigra,,8,2,2,8/3/2023 15:48,526SB3
Symphyotrichum lanceolatum,,8,3,3,8/3/2023 15:48,526SB3
Cicuta maculata,,8,2,2,8/3/2023 15:48,526SB3
Ulmus americana,,8,,7,8/3/2023 15:48,526SB3
Fraxinus pennsylvanica,,8,5,5,8/3/2023 15:48,526SB3
Alisma sp.,,8,2,2,8/3/2023 15:48,526SB3
Carex stipata,,9,7,7,8/3/2023 15:48,526SB3
Leersia oryzoides,,9,6,6,8/3/2023 15:48,526SB3
Symphyotrichum lanceolatum,,9,3,3,8/3/2023 15:48,526SB3
Glyceria striata,,9,7,7,8/3/2023 15:48,526SB3
Epilobium coloratum,,9,2,2,8/3/2023 15:48,526SB3
Carex cristatella,,9,2,2,8/3/2023 15:48,526SB3
Symphyotrichum lateriflorum,,9,3,3,8/3/2023 15:48,526SB3
Ranunculus hispidus var. nitidus ,Ranunculus septentrionalis,9,5,5,8/3/2023 15:48,526SB3
Lysimachia nummularia,,9,5,5,8/3/2023 15:48,526SB3
Cinna arundinacea,,9,2,2,8/3/2023 15:48,526SB3
Iris sp.,,9,3,3,8/3/2023 15:48,526SB3
Equisetum arvense,,9,8,8,8/3/2023 15:48,526SB3
Mentha arvensis,,9,7,7,8/3/2023 15:48,526SB3
Fraxinus pennsylvanica,,9,5,5,8/3/2023 15:48,526SB3
Salix amygdaloides,Salix amygdaloides,9,2,2,8/3/2023 15:48,526SB3
Lycopus uniflorus,,9,5,5,8/3/2023 15:48,526SB3
Scutellaria lateriflora,,9,6,6,8/3/2023 15:48,526SB3
Salix nigra,,9,6,6,8/3/2023 15:48,526SB3
Ulmus americana,,9,5,8,8/3/2023 15:48,526SB3
Chelone glabra,,9,2,2,8/3/2023 15:48,526SB3
Microstegium vimineum,,9,2,2,8/3/2023 15:48,526SB3
Solidago gigantea,,9,2,2,8/3/2023 15:48,526SB3
Impatiens capensis,,9,4,4,8/3/2023 15:48,526SB3
Pilea pumila,,9,2,2,8/3/2023 15:48,526SB3
Fraxinus pennsylvanica,,1,3,6,8/16/2023 17:03,526SB1
Populus deltoides,,1,5,6,8/16/2023 17:03,526SB1
Platanus occidentalis,,1,5,6,8/16/2023 17:03,526SB1
Phragmites australis ssp. Australis,,1,9,9,8/16/2023 17:03,526SB1
Scutellaria lateriflora,,1,2,2,8/16/2023 17:03,526SB1
Glyceria striata,,1,4,4,8/16/2023 17:03,526SB1
Ranunculus hispidus var. nitidus ,Ranunculus septentrionalis,1,4,4,8/16/2023 17:03,526SB1
Toxicodendron radicans,,1,2,2,8/16/2023 17:03,526SB1
Lycopus uniflorus,,1,2,2,8/16/2023 17:03,526SB1
Carex cristatella,,1,3,3,8/16/2023 17:03,526SB1
Ligustrum vulgare,,1,1,1,8/16/2023 17:03,526SB1
Salix amygdaloides,Salix amygdaloides,1,,5,8/16/2023 17:03,526SB1
Cornus sp.,,1,1,1,8/16/2023 17:03,526SB1
Ulmus americana,,1,2,2,8/16/2023 17:03,526SB1
Carex sp. 1,,1,2,2,8/16/2023 17:03,526SB1
Vitis riparia,,1,2,2,8/16/2023 17:03,526SB1
Amphicarpaea bracteata,,1,2,2,8/16/2023 17:03,526SB1
Salix nigra,,1,3,6,8/16/2023 17:03,526SB1
Impatiens sp.,,2,1,1,8/16/2023 17:03,526SB1
Epilobium coloratum,,2,1,1,8/16/2023 17:03,526SB1
Vitis riparia,,2,2,2,8/16/2023 17:03,526SB1
Parthenocissus quinquefolia,,2,2,2,8/16/2023 17:03,526SB1
Acer saccharinum,,2,3,3,8/16/2023 17:03,526SB1
Salix amygdaloides,Salix amygdaloides,2,2,6,8/16/2023 17:03,526SB1
Ulmus americana,,2,3,3,8/16/2023 17:03,526SB1
Salix sp.,Hybrid amyg x nigra?,2,3,3,8/16/2023 17:03,526SB1
Populus deltoides,,2,5,7,8/16/2023 17:03,526SB1
Salix nigra,,2,2,6,8/16/2023 17:03,526SB1
Ligustrum vulgare,,2,1,1,8/16/2023 17:03,526SB1
Platanus occidentalis,,2,3,6,8/16/2023 17:03,526SB1
Fraxinus pennsylvanica,,2,4,5,8/16/2023 17:03,526SB1
Phragmites australis ssp. Australis,,2,10,10,8/16/2023 17:03,526SB1
Platanus occidentalis,,3,4,8,8/16/2023 17:03,526SB1
Salix amygdaloides ,Salix amygdaloides ,3,,7,8/16/2023 17:03,526SB1
Vitis riparia,,3,3,3,8/16/2023 17:03,526SB1
Populus deltoides,,3,6,7,8/16/2023 17:03,526SB1
Fraxinus pennsylvanica,,3,4,4,8/16/2023 17:03,526SB1
Phragmites australis ssp. Australis,,3,9,9,8/16/2023 17:03,526SB1
Ranunculus hispidus var. nitidus ,Ranunculus septentrionalis,3,6,6,8/16/2023 17:03,526SB1
Solidago altissima,,3,4,4,8/16/2023 17:03,526SB1
Cirsium arvense,,3,2,2,8/16/2023 17:03,526SB1
Ligustrum vulgare,,3,2,2,8/16/2023 17:03,526SB1
Salix sericea,,3,2,2,8/16/2023 17:03,526SB1
Salix discolor,,2,,4,8/16/2023 17:03,526SB1
Asclepias incarnata,,2,2,2,8/16/2023 17:03,526SB1
Salix discolor,,3,3,5,8/16/2023 17:03,526SB1
Rosa multiflora,,3,2,2,8/16/2023 17:03,526SB1
Rhamnus frangula,,3,3,3,8/16/2023 17:03,526SB1
Epilobium coloratum,,3,2,2,8/16/2023 17:03,526SB1
Phalaris arundinacea,,3,3,3,8/16/2023 17:03,526SB1
Carex sp. 1,Crinita?,3,4,4,8/16/2023 17:03,526SB1
Toxicodendron radicans,,3,2,2,8/16/2023 17:03,526SB1
Glyceria striata,,3,2,2,8/16/2023 17:03,526SB1
Scutellaria lateriflora,,3,2,2,8/16/2023 17:03,526SB1
Epilobium parviflorum,,3,2,2,8/16/2023 17:03,526SB1
Catalpa speciosa,,3,2,2,8/16/2023 17:03,526SB1
Impatiens sp.,,3,2,2,8/16/2023 17:03,526SB1
Solidago gigantea,,3,2,2,8/16/2023 17:03,526SB1
Salix nigra,,3,2,2,8/16/2023 17:03,526SB1
Carex granularis,,3,2,2,8/16/2023 17:03,526SB1
Ulmus americana,,3,2,2,8/16/2023 17:03,526SB1
Phragmites australis ssp. Australis,,4,7,7,8/16/2023 17:03,526SB1
Lysimachia nummularia,,4,8,8,8/16/2023 17:03,526SB1
Elaeagnus umbellata,,4,6,6,8/16/2023 17:03,526SB1
Phalaris arundinacea,,4,5,5,8/16/2023 17:03,526SB1
Fraxinus pennsylvanica,,4,6,6,8/16/2023 17:03,526SB1
Solidago gigantea,,4,5,5,8/16/2023 17:03,526SB1
Solidago altissima,,4,4,4,8/16/2023 17:03,526SB1
Cornus drummondii,,4,4,4,8/16/2023 17:03,526SB1
Amphicarpaea bracteata,,4,2,2,8/16/2023 17:03,526SB1
Carex radiata,,4,4,4,8/16/2023 17:03,526SB1
Onoclea sensibilis,,4,2,2,8/16/2023 17:03,526SB1
Taraxacum officinale,,4,2,2,8/16/2023 17:03,526SB1
Ligustrum vulgare,,4,2,2,8/16/2023 17:03,526SB1
Geum canadense,,4,2,2,8/16/2023 17:03,526SB1
Agrimonia striata,,4,2,2,8/16/2023 17:03,526SB1
Verbesina alternifolia,,4,2,2,8/16/2023 17:03,526SB1
Vitis riparia,,4,2,2,8/16/2023 17:03,526SB1
Symphyotrichum lateriflorum,,4,2,2,8/16/2023 17:03,526SB1
Ulmus americana,,4,3,3,8/16/2023 17:03,526SB1
Rhamnus frangula,,4,2,2,8/16/2023 17:03,526SB1
Solidago rugosa,,4,2,2,8/16/2023 17:03,526SB1
Salix discolor,,4,2,2,8/16/2023 17:03,526SB1
Symphyotrichum lanceolatum,,4,3,3,8/16/2023 17:03,526SB1
Iris sp.,,4,2,2,8/16/2023 17:03,526SB1
Pedicularis lanceolata,,4,2,2,8/16/2023 17:03,526SB1
Ranunculus hispidus var. nitidus ,Ranunculus septentrionalis ,4,6,6,8/16/2023 17:03,526SB1
Rosa multiflora,,4,3,3,8/16/2023 17:03,526SB1
Glyceria striata,,4,5,5,8/16/2023 17:03,526SB1
Toxicodendron radicans,,4,5,5,8/16/2023 17:03,526SB1
Carex cristatella,,4,3,3,8/16/2023 17:03,526SB1
Symphyotrichum novae-angliae,,4,2,2,8/16/2023 17:03,526SB1
Epilobium coloratum,,4,2,2,8/16/2023 17:03,526SB1
Carex sp. 2,Blanda? ,4,2,2,8/16/2023 17:03,526SB1
Carex sp. 1,Same ,4,4,4,8/16/2023 17:03,526SB1
Cirsium arvense,,4,2,2,8/16/2023 17:03,526SB1
Cinna arundinacea,,4,2,2,8/16/2023 17:03,526SB1
Elymus virginicus,,4,3,3,8/16/2023 17:03,526SB1
Lycopus uniflorus,,4,2,2,8/16/2023 17:03,526SB1
Clematis virginiana,,4,2,2,8/16/2023 17:03,526SB1
Monocot sp. 1,Monocot sp. 1,4,2,2,8/16/2023 17:03,526SB1
Agrostis stolonifera,,4,5,5,8/16/2023 17:03,526SB1
Platanus occidentalis,,4,5,5,8/16/2023 17:03,526SB1
Populus deltoides,,4,4,5,8/16/2023 17:03,526SB1
Phalaris arundinacea,,2,3,3,8/17/2023 18:41,526SB2
Amphicarpaea bracteata,,2,8,8,8/17/2023 18:41,526SB2
Carex emoryi,Emoryii,2,6,6,8/17/2023 18:41,526SB2
Amorpha fruticosa,,2,4,4,8/17/2023 18:41,526SB2
Toxicodendron radicans,,2,7,7,8/17/2023 18:41,526SB2
Rosa multiflora,,2,5,5,8/17/2023 18:41,526SB2
Cornus drummondii,,2,6,6,8/17/2023 18:41,526SB2
Fraxinus pennsylvanica,,2,7,7,8/17/2023 18:41,526SB2
